keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop,company,date
win,OTHER,0.002072968,155718,28413,111061,RT amazongames: Follow &amp; RT to enter for a chance to win a skinned #ESO Xbox One or PS4! #AmazonSweeps http://t.co/Cv2XauGZt0 http://t.co/�,10785,1728,7615,Amazon,27/05/2015
#AmazonSweeps,HASHTAG,1.09E-04,77967,10330,54275,RT amazongames: Follow &amp; RT to enter for a chance to win a skinned #ESO Xbox One or PS4! #AmazonSweeps http://t.co/Cv2XauGZt0 http://t.co/�,10785,1728,7615,Amazon,27/05/2015
@amazongames,USERNAME,7.09E-06,56850,11628,41001,RT amazongames: Follow &amp; RT to enter for a chance to win a skinned #ESO Xbox One or PS4! #AmazonSweeps http://t.co/Cv2XauGZt0 http://t.co/�,10785,1728,7615,Amazon,27/05/2015
#AmazonGiveaway,HASHTAG,0.001824723,28102,9222,21435,RT Amazon3PSellers: RT + Follow for a chance to win a SoundBlock Wireless Speaker NoPurchNec #AmazonGiveaway Rules:http://t.co/ASgnloi2K9 �,2263,280,1568,Amazon,16/12/2014
@Amazon,USERNAME,1.79E-05,28531,5798,20560,RT FallonTonight: Win from home! Five fans can win Bose speakers from Amazon by replying to us and using #FallonStockingSweeps! #FallonT�,1951,706,1515,Amazon,22/12/2014
@Amazon3PSellers,USERNAME,2.79E-10,26717,4268,18842,RT Amazon3PSellers: RT + Follow for a chance to win a SoundBlock Wireless Speaker NoPurchNec #AmazonGiveaway Rules:http://t.co/ASgnloi2K9 �,2263,280,1568,Amazon,24/06/2015
#PS4,HASHTAG,0.009287143,23207,3069,16156,RT amazongames: Follow &amp; RT for a chance to win a #PS4 or #XboxOne bundle! #AmazonSweeps #12DaysOfGiveaways http://t.co/148D86kSW6 http://�,9352,1387,6564,Amazon,3/2/2015
#12DaysOfGiveaways,HASHTAG,0.019011256,21867,2926,15234,RT amazongames: Follow &amp; RT for a chance to win a #PS4 or #XboxOne bundle! #AmazonSweeps #12DaysOfGiveaways http://t.co/148D86kSW6 http://�,9352,1387,6564,Amazon,19/02/2015
#XboxOne,HASHTAG,0.090464324,21053,2727,14637,RT amazongames: Follow &amp; RT for a chance to win a #PS4 or #XboxOne bundle! #AmazonSweeps #12DaysOfGiveaways http://t.co/148D86kSW6 http://�,9352,1387,6564,Amazon,3/2/2015
Amazon.com,OTHER,2.83E-05,8356,19267,12116,RT ActuallyNPH: My birthday is Monday so today is your last day to get free shipping with Amazon Prime. Please plan and shop accordingly.�,1185,7943,3550,Amazon,22/12/2014
@amazon,USERNAME,1.88E-16,15332,5771,11947,Follow amazon and retweet for a chance to win http://t.co/76HUOSZq7m   Rules http://t.co/4z05LXiZ6C #AmazonSweeps http://t.co/Zv0Ygchk50,2598,267,1782,Amazon,21/12/2014
@amazon_movies,USERNAME,0,13289,1899,9295,RT amazon_movies: Followers who RT have a shot 2 win this http://t.co/IY9PebiWuV! NoPurchNec http://t.co/5vE7Ch83EF #giveaway http://t.co/�,2242,260,1548,Amazon,3/6/2015
#giveaway,HASHTAG,0.07648307,13067,1629,9060,RT amazon_movies: Followers who RT have a shot 2 win this http://t.co/IY9PebiWuV! NoPurchNec http://t.co/5vE7Ch83EF #giveaway http://t.co/�,2242,260,1548,Amazon,15/12/2014
#ESO,HASHTAG,0.88310349,10785,1728,7615,RT amazongames: Follow &amp; RT to enter for a chance to win a skinned #ESO Xbox One or PS4! #AmazonSweeps http://t.co/Cv2XauGZt0 http://t.co/�,10785,1728,7615,Amazon,27/05/2015
http://t.co/Cv2XauGZt0,LINK,0,10785,1728,7615,RT amazongames: Follow &amp; RT to enter for a chance to win a skinned #ESO Xbox One or PS4! #AmazonSweeps http://t.co/Cv2XauGZt0 http://t.co/�,10785,1728,7615,Amazon,13/06/2015
http�,LINK,-7.04E-06,8914,2082,6516,RT amazongames: Remember #E3 2002? Follow &amp; RT for a chance to win a WaveBird. WiiU compatible! #CountdownToE3 http://t.co/ho17SI4FMy http�,2549,376,1788,Amazon,2/6/2015
#CandyBracket,HASHTAG,9.62E-04,5343,4506,5041,Twix is in it for the win! RT for a chance to win this #CandyBracket #AmazonSweeps Rules: https://t.co/roi2BWGHav http://t.co/9YIEOHSKV6,997,143,698,Amazon,6/12/2014
@Rem4Men,USERNAME,0.047221506,6310,732,4354,RT for a chance to win from Rem4Men http://t.co/nFaMN8n8tx NoPurchNec #AmazonGiveaway Rules:https://t.co/5OSeGt0b3F http://t.co/qbADuBxdBR,1238,143,854,Amazon,24/04/2015
sweet,OTHER,0.072347918,5827,1059,4155,RT amazongames: Follow &amp; RT for a chance to win a sweet gaming headset from turtlebeach. #12DaysOfGiveaways http://t.co/PapkqENpmW http:/�,3362,422,2332,Amazon,22/12/2014
#CountdownToE3,HASHTAG,0,5641,784,3940,RT amazongames: Remember #E3 2003? Follow &amp; RT for a chance to win a PlayStation Portable. #CountdownToE3 http://t.co/ho17SHN4V0 http://t.�,3092,408,2152,Amazon,13/06/2015
@jackeryinc,USERNAME,0.070013212,5551,812,3890,RT Amazon3PSellers: RT + Follow for a chance to win this bundle from jackeryinc! NoPurchNec #AmazonSweeps Rules: http://t.co/16cDbC25A2 h�,1521,219,1065,Amazon,9/12/2014
last day,OTHER,0.016156953,1380,8138,3743,RT ActuallyNPH: My birthday is Monday so today is your last day to get free shipping with Amazon Prime. Please plan and shop accordingly.�,1185,7943,3550,Amazon,14/01/2015
@ActuallyNPH,USERNAME,0.0377695,1193,8043,3590,RT ActuallyNPH: My birthday is Monday so today is your last day to get free shipping with Amazon Prime. Please plan and shop accordingly.�,1185,7943,3550,Amazon,21/12/2014
free shipping,OTHER,0.075539,1185,7943,3550,RT ActuallyNPH: My birthday is Monday so today is your last day to get free shipping with Amazon Prime. Please plan and shop accordingly.�,1185,7943,3550,Amazon,19/02/2015
#12DaysofGiveaways,HASHTAG,0.06761016,5050,614,3496,RT amazongames: Follow &amp; RT for a chance to win dragonage Inquisition for #PS4 or #XboxOne #12DaysofGiveaways http://t.co/TTxlAqMmwo http�,2605,285,1792,Amazon,24/02/2015
@AmazonVideo,USERNAME,4.60E-09,3041,4193,3426,RT Avengers: Get your #Avengers fix thanks to AmazonVideo! Watch: http://t.co/Go02nI4ABM,243,583,362,Amazon,27/05/2015
@AnkerOfficial,USERNAME,0.478347724,4469,563,3101,RT Amazon3PSellers: RT + Follow for a chance to win this AnkerOfficial Charger! NoPurchNec #AmazonGiveaway Rules: http://t.co/R334k9RBQI �,1518,210,1060,Amazon,13/05/2015
htt�,OTHER,0.05631306,3968,1111,2964,RT amazon_movies: Followers who RT have a shot 2 win this http://t.co/tTepUyqlg5 NoPurchNec http://t.co/8JglzS8hsq #giveaway #MachoMan htt�,1975,399,1423,Amazon,15/12/2014
#100Books,HASHTAG,1.36E-08,2114,4189,2800,March is National Reading Month and we're going to celebrate by sharing 100 Books to Read in a Lifetime. #100Books,165,220,184,Amazon,27/05/2015
https://t.co/8F2M9LyT8e,LINK,0,3780,371,2586,Follow Amazon and Retweet for a chance to win http://t.co/GlmsyBtzNK #AmazonSweeps Rules https://t.co/8F2M9LyT8e http://t.co/w7cSOhvNcK,1983,206,1361,Amazon,18/02/2015
sweet gaming headset,OTHER,0.49000001,3362,422,2332,RT amazongames: Follow &amp; RT for a chance to win a sweet gaming headset from turtlebeach. #12DaysOfGiveaways http://t.co/PapkqENpmW http:/�,3362,422,2332,Amazon,19/02/2015
@turtlebeach,USERNAME,0.465775877,3362,422,2332,RT amazongames: Follow &amp; RT for a chance to win a sweet gaming headset from turtlebeach. #12DaysOfGiveaways http://t.co/PapkqENpmW http:/�,3362,422,2332,Amazon,26/01/2015
http://t.co/PapkqENpmW,LINK,0,3362,422,2332,RT amazongames: Follow &amp; RT for a chance to win a sweet gaming headset from turtlebeach. #12DaysOfGiveaways http://t.co/PapkqENpmW http:/�,3362,422,2332,Amazon,5/3/2015
http://t.co/EAchj7bkMn,LINK,0,3260,378,2250,Follow amazon and retweet for a chance to win http://t.co/XGL0joMUmR Rules http://t.co/EAchj7bkMn #AmazonSweeps http://t.co/qildCtw2Nx,1135,128,782,Amazon,17/06/2015
http://t.co/ho17SHN4V0,LINK,0,3092,408,2152,RT amazongames: Remember #E3 2003? Follow &amp; RT for a chance to win a PlayStation Portable. #CountdownToE3 http://t.co/ho17SHN4V0 http://t.�,3092,408,2152,Amazon,22/03/2015
favorite,OTHER,0.031672209,2196,1614,1982,Who are you picking in this #CandyBracket semi-finals showdown? RT for Twix favorite for 3 Musketeers http://t.co/jutoo55FX9,249,172,222,Amazon,15/12/2014
@AmazonKindle,USERNAME,2.28E-05,1860,2214,1971,RT AmazonKindle: Celebrate National Reading Month with $20 off Kindle: http://t.co/EHCZvRvXSB  Limited-time only. http://t.co/0wUOb9YqgG,486,372,446,Amazon,3/6/2015
Inquisition,OTHER,-0.564666659,2628,314,1817,RT amazongames: Follow &amp; RT for a chance to win dragonage Inquisition for #PS4 or #XboxOne #12DaysofGiveaways http://t.co/TTxlAqMmwo http�,2605,285,1792,Amazon,3/12/2014
@Money23Green,USERNAME,0.668378741,2597,373,1817,RT Amazon3PSellers: Follow + RT for a chance to win: jackeryinc signed by Money23Green http://t.co/yJq3SSgmj7http://t.co/dfkBlXi8wO ht�,1316,176,916,Amazon,13/06/2015
special edition,OTHER,0.680480987,2562,394,1802,RT Amazon3PSellers: Follow + RT for a chance to win a Money23Green special edition jackeryinc!http://t.co/j8CKCtzkCD#AmazonSweeps http�,1281,197,901,Amazon,21/12/2014
