love,26/06/2015,10/04/2015,27/03/2015,24/02/2015,11/11/2014,17/10/2014,09/09/2014,,,
Apple,17/06/2015,27/03/2015,09/03/2015,17/02/2015,16/12/2014,01/12/2014,09/09/2014,15/08/2014,05/08/2014,16/07/2014
great day,09/09/2014,09/09/2014,,,,,,,,
great,15/04/2015,24/02/2015,19/09/2014,12/08/2014,,,,,,
amazing,02/03/2015,09/01/2015,09/09/2014,05/08/2014,,,,,,
Steve,24/02/2015,,,,,,,,,
"""The only way to do great work is to love what you do.""",24/02/2015,,,,,,,,,
Indiana,27/03/2015,,,,,,,,,
disappointed,27/03/2015,,,,,,,,,
http://t.co/0YD0gZ7jvm,24/02/2015,,,,,,,,,
Gov.,27/03/2015,,,,,,,,,
Special Event,04/09/2014,04/09/2014,,,,,,,,
first time,10/04/2015,30/09/2014,,,,,,,,
excited crowds today,30/09/2014,,,,,,,,,
�The people who are crazy enough to think they can change the world are the ones who do.�,26/06/2015,,,,,,,,,
http://t.co/QJTkCuZVdo,30/03/2015,,,,,,,,,
iPhone 6 Plus,19/09/2014,,,,,,,,,
#AppleLive,09/09/2014,,,,,,,,,
crazy,26/06/2015,,,,,,,,,
great work,24/02/2015,,,,,,,,,
#HB1228,27/03/2015,,,,,,,,,
coletteparis,30/09/2014,,,,,,,,,
Thrilled,10/04/2015,06/06/2014,02/06/2014,,,,,,,
best,16/02/2015,03/08/2014,06/06/2014,,,,,,,
#Beats,11/06/2014,28/05/2014,,,,,,,,
#WWDC15,08/06/2015,08/06/2015,,,,,,,,
inspires,17/02/2015,19/11/2014,20/09/2014,08/07/2014,29/06/2014,,,,,
Austin,06/06/2014,06/06/2014,,,,,,,,
extra rest,09/03/2015,,,,,,,,,
dangerous,30/03/2015,,,,,,,,,
http://t.co/2Iudkgv8NW,16/10/2014,04/09/2014,,,,,,,,
hope,04/09/2014,,,,,,,,,
amazing team,23/06/2014,23/06/2014,12/06/2014,12/06/2014,,,,,,
http://t.co/XAxKLEQvjg,19/09/2014,,,,,,,,,
great visit,19/09/2014,,,,,,,,,
Amazing,30/09/2014,25/06/2014,,,,,,,,
http://t.co/YTqzbqSGhC,30/09/2014,,,,,,,,,
"""You have to trust in something � your gut destiny life karma whatever.""",05/10/2014,,,,,,,,,
SJ,05/10/2014,05/10/2014,,,,,,,,
innovation,19/11/2014,20/09/2014,08/07/2014,29/06/2014,,,,,,
perseverance,26/06/2015,,,,,,,,,
new law,27/03/2015,,,,,,,,,
racism,21/06/2015,,,,,,,,,
Amazing view,25/06/2014,,,,,,,,,
cue,28/05/2014,,,,,,,,,
Heartbroken,15/05/2015,12/08/2014,,,,,,,,
Europe,06/08/2014,23/06/2014,,,,,,,,
ban,17/06/2014,,,,,,,,,
Madrid,23/06/2014,,,,,,,,,
huge,09/03/2015,06/08/2014,,,,,,,,
Mac Pro,06/06/2014,,,,,,,,,
talented team,09/03/2015,09/03/2015,,,,,,,,
talent,12/08/2014,,,,,,,,,
victory,26/06/2015,,,,,,,,,
small part,27/11/2014,27/11/2014,,,,,,,,
#Yosemite,25/06/2014,,,,,,,,,
freedom,25/05/2015,11/11/2014,25/05/2014,,,,,,,
#IBM,16/07/2014,,,,,,,,,
scholarship,08/06/2015,02/06/2014,,,,,,,,
http://t.co/ZwyWgHFwhO,28/05/2014,,,,,,,,,
Paris,30/09/2014,,,,,,,,,
OneRepublic,09/03/2015,14/06/2014,,,,,,,,
#applepride,29/06/2015,20/09/2014,20/09/2014,,,,,,,
http://t.co/0Rq48p7t7i,16/07/2014,,,,,,,,,
terror,11/01/2015,,,,,,,,,
courage,11/11/2014,03/08/2014,,,,,,,,
laugh,16/10/2014,28/05/2014,,,,,,,,
#MLK,19/01/2015,19/01/2015,,,,,,,,
Celebrating,02/03/2015,19/11/2014,,,,,,,,
14-Oct,16/10/2014,,,,,,,,,
Zhang Fan,23/10/2014,,,,,,,,,
#Apple,16/07/2014,28/05/2014,,,,,,,,
talented,08/06/2015,02/06/2014,,,,,,,,
Excited,28/05/2014,,,,,,,,,
Robin Williams,13/08/2014,12/08/2014,,,,,,,,
winners,08/06/2015,14/06/2014,02/06/2014,,,,,,,
#UnityRally,11/01/2015,11/01/2015,,,,,,,,
Honoring,07/03/2015,19/01/2015,,,,,,,,
IBM,16/07/2014,,,,,,,,,
#HappyNewYear,01/01/2015,01/01/2015,,,,,,,,
fight,25/05/2015,07/03/2015,24/11/2014,,,,,,,
landmark enterprise partnership,16/07/2014,,,,,,,,,
honor,21/06/2015,11/11/2014,,,,,,,,
peace,12/08/2014,09/08/2014,,,,,,,,
celebration,23/04/2015,09/01/2015,,,,,,,,
eradicating racism,21/06/2015,,,,,,,,,
http://t.co/AoiDZH1j9a,13/08/2014,,,,,,,,,
impressed,08/06/2015,,,,,,,,,
progress,17/05/2015,20/04/2015,,,,,,,,
great time,17/06/2015,17/06/2015,,,,,,,,
http://t.co/SIyZVAeznL,22/04/2015,,,,,,,,,
eradicating,21/06/2015,,,,,,,,,
drdre,15/08/2014,,,,,,,,,
#justdoit,17/06/2014,,,,,,,,,
http://t.co/TP38dRIAz8,25/06/2014,,,,,,,,,
valuing security,03/01/2015,,,,,,,,,
courageous men,25/05/2015,,,,,,,,,
CTurlington,27/04/2015,23/04/2015,,,,,,,,
WholeFoods,03/01/2015,,,,,,,,,
friends,29/06/2015,11/01/2015,,,,,,,,
http://t.co/QzjaL8hExI,24/11/2014,,,,,,,,,
Staples,03/01/2015,,,,,,,,,
dignity,17/06/2014,,,,,,,,,
Apple Store,12/06/2014,,,,,,,,,
year march,17/02/2015,,,,,,,,,
#ENDA,17/06/2014,,,,,,,,,
http://t.co/5BVStOF1a4,29/08/2014,,,,,,,,,
ago today,29/08/2014,,,,,,,,,
Congratulations,17/05/2015,25/01/2015,23/01/2015,02/11/2014,23/06/2014,12/06/2014,,,,
http://t.co/5LcCOFIVgC,06/06/2014,,,,,,,,,
victim,21/06/2015,,,,,,,,,
