Intel,12/06/2015,12/06/2015,10/06/2015,08/06/2015,04/06/2015,04/06/2015,02/06/2015,01/06/2015,29/05/2015,28/05/2015,27/05/2015,26/05/2015,25/05/2015,25/05/2015,17/05/2015,17/05/2015,16/05/2015,16/05/2015,11/05/2015,04/05/2015,04/05/2015,01/05/2015,27/04/2015,17/04/2015,06/04/2015,01/04/2015,26/03/2015,24/03/2015,24/03/2015,18/03/2015,18/03/2015,12/03/2015,11/03/2015,04/03/2015,04/03/2015,04/03/2015,03/03/2015,03/03/2015,02/03/2015,27/02/2015,24/02/2015,20/02/2015,17/02/2015,06/02/2015,31/01/2015,30/01/2015,29/01/2015,23/01/2015,21/01/2015,19/01/2015,17/01/2015,15/01/2015,14/01/2015,14/01/2015,13/01/2015,13/01/2015,09/01/2015,09/01/2015,09/01/2015,09/01/2015,08/01/2015,08/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,06/01/2015,06/01/2015,02/01/2015,02/01/2015,31/12/2014,24/12/2014,18/12/2014,17/12/2014,17/12/2014,15/12/2014,13/12/2014,12/12/2014,11/12/2014,05/12/2014,05/12/2014,04/12/2014,02/12/2014,26/11/2014,25/11/2014,25/11/2014,24/11/2014,23/11/2014,22/11/2014,20/11/2014,16/11/2014,09/11/2014,05/11/2014,20/10/2014,15/10/2014,24/09/2014,24/09/2014,23/09/2014,21/09/2014,11/09/2014,09/09/2014,09/09/2014,09/09/2014,09/09/2014,05/09/2014,05/09/2014,05/09/2014,04/09/2014,04/09/2014,02/09/2014,02/09/2014,29/08/2014,29/08/2014,28/08/2014,20/08/2014,19/08/2014,15/08/2014,14/08/2014,01/08/2014,10/07/2014,08/07/2014,30/06/2014,25/06/2014,20/06/2014,19/06/2014,15/06/2014,13/06/2014,11/06/2014,09/06/2014,05/06/2014,04/06/2014,02/06/2014,24/05/2014,23/05/2014,18/05/2014,17/05/2014,06/05/2014,25/04/2014,23/04/2014,20/04/2014,18/04/2014,16/04/2014,15/04/2014,09/04/2014,08/04/2014,01/04/2014,27/03/2014,27/03/2014,20/03/2014,26/02/2014,25/02/2014,19/02/2014,18/02/2014
#CES2015,20/01/2015,14/01/2015,13/01/2015,10/01/2015,09/01/2015,09/01/2015,09/01/2015,09/01/2015,09/01/2015,09/01/2015,09/01/2015,09/01/2015,09/01/2015,08/01/2015,08/01/2015,08/01/2015,08/01/2015,08/01/2015,08/01/2015,08/01/2015,08/01/2015,08/01/2015,08/01/2015,08/01/2015,08/01/2015,08/01/2015,08/01/2015,08/01/2015,08/01/2015,08/01/2015,08/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,06/01/2015,05/01/2015,05/01/2015,05/01/2015,05/01/2015,05/01/2015,05/01/2015,05/01/2015,05/01/2015,05/01/2015,05/01/2015,05/01/2015,05/01/2015,05/01/2015,22/10/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#MWC15,06/03/2015,06/03/2015,05/03/2015,05/03/2015,05/03/2015,05/03/2015,05/03/2015,05/03/2015,05/03/2015,04/03/2015,04/03/2015,04/03/2015,04/03/2015,04/03/2015,04/03/2015,04/03/2015,04/03/2015,04/03/2015,03/03/2015,03/03/2015,03/03/2015,03/03/2015,03/03/2015,03/03/2015,03/03/2015,03/03/2015,03/03/2015,03/03/2015,02/03/2015,02/03/2015,02/03/2015,02/03/2015,02/03/2015,02/03/2015,02/03/2015,01/03/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#iQ,19/06/2015,18/06/2015,18/06/2015,17/06/2015,16/06/2015,16/06/2015,12/06/2015,11/06/2015,11/06/2015,10/06/2015,10/06/2015,09/06/2015,09/06/2015,08/06/2015,05/06/2015,04/06/2015,28/05/2015,22/05/2015,21/05/2015,21/05/2015,20/05/2015,20/05/2015,17/05/2015,16/05/2015,12/05/2015,07/05/2015,06/05/2015,05/05/2015,01/05/2015,30/04/2015,27/04/2015,24/04/2015,22/04/2015,22/04/2015,21/04/2015,20/04/2015,16/04/2015,15/04/2015,14/04/2015,10/04/2015,06/04/2015,01/04/2015,01/04/2015,30/03/2015,30/03/2015,27/03/2015,17/03/2015,12/03/2015,06/03/2015,27/02/2015,12/02/2015,11/02/2015,31/01/2015,30/01/2015,28/01/2015,28/01/2015,28/01/2015,06/01/2015,06/01/2015,13/12/2014,30/10/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Intel,04/06/2015,04/06/2015,04/06/2015,03/06/2015,03/06/2015,03/06/2015,03/06/2015,03/06/2015,03/06/2015,03/06/2015,03/06/2015,02/06/2015,02/06/2015,02/06/2015,02/06/2015,02/06/2015,02/06/2015,02/06/2015,01/06/2015,26/05/2015,19/03/2015,05/03/2015,05/03/2015,05/03/2015,05/03/2015,05/03/2015,04/03/2015,04/03/2015,04/03/2015,04/03/2015,04/03/2015,04/03/2015,04/03/2015,03/03/2015,03/03/2015,03/03/2015,03/03/2015,03/03/2015,09/01/2015,08/01/2015,08/01/2015,06/01/2015,06/01/2015,02/12/2014,02/12/2014,20/11/2014,03/06/2014,02/06/2014,27/05/2014,21/05/2014,20/05/2014,18/05/2014,18/05/2014,18/05/2014,17/05/2014,21/03/2014,06/03/2014,28/02/2014,28/02/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DidYouKnow,24/04/2015,22/02/2015,21/02/2015,20/02/2015,19/02/2015,18/02/2015,29/01/2015,16/01/2015,12/01/2015,29/12/2014,24/12/2014,12/11/2014,04/11/2014,03/11/2014,29/10/2014,22/10/2014,10/10/2014,22/09/2014,11/09/2014,09/09/2014,03/09/2014,27/08/2014,18/08/2014,13/08/2014,12/08/2014,11/08/2014,11/08/2014,09/08/2014,07/08/2014,05/08/2014,04/08/2014,01/08/2014,31/07/2014,28/07/2014,28/07/2014,25/07/2014,25/07/2014,24/07/2014,24/07/2014,23/07/2014,22/07/2014,21/07/2014,20/07/2014,17/07/2014,11/07/2014,08/07/2014,04/07/2014,03/07/2014,02/07/2014,25/06/2014,25/06/2014,23/06/2014,20/06/2014,20/06/2014,19/06/2014,18/06/2014,17/06/2014,12/06/2014,12/06/2014,03/06/2014,30/05/2014,29/05/2014,27/05/2014,23/05/2014,22/05/2014,16/05/2014,15/05/2014,14/05/2014,03/04/2014,03/04/2014,31/03/2014,20/03/2014,19/03/2014,17/03/2014,17/03/2014,17/03/2014,14/03/2014,11/03/2014,07/03/2014,06/03/2014,04/03/2014,03/03/2014,24/02/2014,23/02/2014,20/02/2014,19/02/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inspired,02/06/2015,18/05/2015,27/02/2015,25/02/2015,15/12/2014,06/08/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final frontier,27/02/2015,27/02/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Intel,28/05/2015,12/05/2015,02/05/2015,26/04/2015,23/04/2015,14/03/2015,14/03/2015,11/03/2015,05/03/2015,02/03/2015,26/02/2015,10/02/2015,06/02/2015,13/01/2015,08/01/2015,07/01/2015,07/01/2015,07/01/2015,07/01/2015,06/01/2015,05/01/2015,05/01/2015,18/12/2014,18/12/2014,14/12/2014,03/12/2014,01/12/2014,26/11/2014,17/11/2014,13/11/2014,07/11/2014,04/11/2014,31/10/2014,30/10/2014,30/10/2014,09/09/2014,08/09/2014,08/09/2014,20/05/2014,11/05/2014,02/04/2014,04/03/2014,27/02/2014,25/02/2014,24/02/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#IntelTablets,15/10/2014,17/09/2014,29/08/2014,20/08/2014,30/07/2014,21/07/2014,16/07/2014,14/07/2014,09/07/2014,07/07/2014,03/07/2014,24/06/2014,15/06/2014,14/06/2014,12/06/2014,11/06/2014,22/05/2014,16/05/2014,15/05/2014,14/05/2014,13/05/2014,12/05/2014,12/05/2014,09/05/2014,06/05/2014,06/05/2014,06/05/2014,05/05/2014,01/05/2014,30/04/2014,24/04/2014,23/04/2014,21/04/2014,21/04/2014,18/04/2014,18/04/2014,17/04/2014,16/04/2014,15/04/2014,14/04/2014,14/04/2014,11/04/2014,11/04/2014,10/04/2014,10/04/2014,09/04/2014,09/04/2014,09/04/2014,08/04/2014,08/04/2014,04/04/2014,31/03/2014,28/03/2014,26/03/2014,21/03/2014,21/03/2014,20/03/2014,20/03/2014,19/03/2014,12/03/2014,12/03/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
