keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop
win,OTHER,0.002072968045160067,155718,28413,111061,RT amazongames: Follow &amp; RT to enter for a chance to win a skinned #ESO Xbox One or PS4! #AmazonSweeps http://t.co/Cv2XauGZt0 http://t.co/�,10785,1728,7615
@amazongames,USERNAME,7.0874306100875866E-6,56850,11628,41001,RT amazongames: Follow &amp; RT to enter for a chance to win a skinned #ESO Xbox One or PS4! #AmazonSweeps http://t.co/Cv2XauGZt0 http://t.co/�,10785,1728,7615
#AmazonSweeps,HASHTAG,1.0907898898224733E-4,77967,10330,54275,RT amazongames: Follow &amp; RT to enter for a chance to win a skinned #ESO Xbox One or PS4! #AmazonSweeps http://t.co/Cv2XauGZt0 http://t.co/�,10785,1728,7615
#PS4,HASHTAG,0.009287142964707342,23207,3069,16156,RT amazongames: Follow &amp; RT for a chance to win a #PS4 or #XboxOne bundle! #AmazonSweeps #12DaysOfGiveaways http://t.co/148D86kSW6 http://�,9352,1387,6564
#12DaysOfGiveaways,HASHTAG,0.0190112556875,21867,2926,15234,RT amazongames: Follow &amp; RT for a chance to win a #PS4 or #XboxOne bundle! #AmazonSweeps #12DaysOfGiveaways http://t.co/148D86kSW6 http://�,9352,1387,6564
#AmazonGiveaway,HASHTAG,0.0018247228483137254,28102,9222,21435,RT Amazon3PSellers: RT + Follow for a chance to win a SoundBlock Wireless Speaker NoPurchNec #AmazonGiveaway Rules:http://t.co/ASgnloi2K9 �,2263,280,1568
@Amazon3PSellers,USERNAME,2.793321414185385E-10,26717,4268,18842,RT Amazon3PSellers: RT + Follow for a chance to win a SoundBlock Wireless Speaker NoPurchNec #AmazonGiveaway Rules:http://t.co/ASgnloi2K9 �,2263,280,1568
http�,LINK,-7.043699029355295E-6,8914,2082,6516,RT amazongames: Remember #E3 2002? Follow &amp; RT for a chance to win a WaveBird. WiiU compatible! #CountdownToE3 http://t.co/ho17SI4FMy http�,2549,376,1788
@amazon,USERNAME,1.879697089087131E-16,15332,5771,11947,Follow amazon and retweet for a chance to win http://t.co/76HUOSZq7m   Rules http://t.co/4z05LXiZ6C #AmazonSweeps http://t.co/Zv0Ygchk50,2598,267,1782
Amazon.com,OTHER,2.832989931271019E-5,8356,19267,12116,RT ActuallyNPH: My birthday is Monday so today is your last day to get free shipping with Amazon Prime. Please plan and shop accordingly.�,1185,7943,3550
Inquisition,OTHER,-0.564666659,2628,314,1817,RT amazongames: Follow &amp; RT for a chance to win dragonage Inquisition for #PS4 or #XboxOne #12DaysofGiveaways http://t.co/TTxlAqMmwo http�,2605,285,1792
@jackeryinc,USERNAME,0.07001321167499999,5551,812,3890,RT Amazon3PSellers: RT + Follow for a chance to win this bundle from jackeryinc! NoPurchNec #AmazonSweeps Rules: http://t.co/16cDbC25A2 h�,1521,219,1065
@Amazon,USERNAME,1.792427662289337E-5,28531,5798,20560,RT FallonTonight: Win from home! Five fans can win Bose speakers from Amazon by replying to us and using #FallonStockingSweeps! #FallonT�,1951,706,1515
#XboxOne,HASHTAG,0.09046432434861111,21053,2727,14637,RT amazongames: Follow &amp; RT for a chance to win a #PS4 or #XboxOne bundle! #AmazonSweeps #12DaysOfGiveaways http://t.co/148D86kSW6 http://�,9352,1387,6564
#CountdownToE3,HASHTAG,0.0,5641,784,3940,RT amazongames: Remember #E3 2003? Follow &amp; RT for a chance to win a PlayStation Portable. #CountdownToE3 http://t.co/ho17SHN4V0 http://t.�,3092,408,2152
@ActuallyNPH,USERNAME,0.0377695,1193,8043,3590,RT ActuallyNPH: My birthday is Monday so today is your last day to get free shipping with Amazon Prime. Please plan and shop accordingly.�,1185,7943,3550
sweet,OTHER,0.07234791811378968,5827,1059,4155,RT amazongames: Follow &amp; RT for a chance to win a sweet gaming headset from turtlebeach. #12DaysOfGiveaways http://t.co/PapkqENpmW http:/�,3362,422,2332
@Halo,USERNAME,0.441551745,2393,250,1642,RT amazongames: Follow &amp; RT for a chance to win Halo The Master Chief Collection #12DaysOfGiveaways http://t.co/MUsBzljfOF http://t.co/uo�,2393,250,1642
#ESO,HASHTAG,0.88310349,10785,1728,7615,RT amazongames: Follow &amp; RT to enter for a chance to win a skinned #ESO Xbox One or PS4! #AmazonSweeps http://t.co/Cv2XauGZt0 http://t.co/�,10785,1728,7615
#CandyBracket,HASHTAG,9.615385023365945E-4,5343,4506,5041,Twix is in it for the win! RT for a chance to win this #CandyBracket #AmazonSweeps Rules: https://t.co/roi2BWGHav http://t.co/9YIEOHSKV6,997,143,698
htt�,OTHER,0.056313060263457074,3968,1111,2964,RT amazon_movies: Followers who RT have a shot 2 win this http://t.co/tTepUyqlg5 NoPurchNec http://t.co/8JglzS8hsq #giveaway #MachoMan htt�,1975,399,1423
http://t.co/EAchj6TJnN,LINK,0.0,2499,293,1726,Follow amazon and retweet for a chance to win http://t.co/b5vtgT1sIJ  Rules http://t.co/EAchj6TJnN #AmazonSweeps http://t.co/mavct6AFis,1424,185,990
@Plugable,USERNAME,0.551939681,2525,367,1769,RT Amazon3PSellers: RT + Follow for a chance to win a Plugable 3-Port Charger Cup NoPurchNec #AmazonSweeps Rules:http://t.co/4UVrgTNcNl h�,1389,209,976
