ID,Source Text,Summary,Detected Language,Detected Language Strength,Document Sentiment,Document Sentiment +/-,Model Sentiment,Model Sentiment +/-,Phrase Intensifier,Phrase Negator,Phrase,Phrase Sentiment,Phrase Sentiment +/-,Suggested Phrase,Entity,Entity Type,Entity Sentiment,Entity Sentiment +/-,Entity Sentiment Evidence,Theme,Theme Sentiment,Theme Sentiment +/-,Theme Sentiment Evidence,Wikipedia™ Category,Wikipedia Sub Category,Wikipedia Category Strength,User Category,User Category Strength,User Category Sentiment,User Category Sentiment +/-,Query Category,Query Sub Category,Query Category Sentiment,Query Category Sentiment +/-,Query Category Relevancy,Intention Type,Who,What,Evidence
9d4a15fc-f979-493a-804a-059a4be5e64b,"Great to celebrate with over 8,000 Apple employees, friends and families. Happy Pride everyone! #applepride http://t.co/2A9YD9z95B","Great to celebrate with over 8,000 Apple employees, friends and families... Happy Pride everyone!... ",English,9,0.6875,positive,,,,,Happy,1,positive,, #applepride,Pattern,0.600000024,positive,5,,,,,Labor,,0.480865031,,,,,,,,,,,,,
9d4a15fc-f979-493a-804a-059a4be5e64b,"Great to celebrate with over 8,000 Apple employees, friends and families. Happy Pride everyone! #applepride http://t.co/2A9YD9z95B","Great to celebrate with over 8,000 Apple employees, friends and families... Happy Pride everyone!... ",English,9,0.6875,positive,,,,,celebrate,0.600000024,positive,,  http://t.co/2A9YD9z95B,Regex,0,neutral,0,,,,,,,,,,,,,,,,,,,,
9d4a15fc-f979-493a-804a-059a4be5e64b,"Great to celebrate with over 8,000 Apple employees, friends and families. Happy Pride everyone! #applepride http://t.co/2A9YD9z95B","Great to celebrate with over 8,000 Apple employees, friends and families... Happy Pride everyone!... ",English,9,0.6875,positive,,,,, #applepride,0.600000024,positive,,,,,,,,,,,,,,,,,,,,,,,,,,
9d4a15fc-f979-493a-804a-059a4be5e64b,"Great to celebrate with over 8,000 Apple employees, friends and families. Happy Pride everyone! #applepride http://t.co/2A9YD9z95B","Great to celebrate with over 8,000 Apple employees, friends and families... Happy Pride everyone!... ",English,9,0.6875,positive,,,,,friends,0.550000012,positive,,,,,,,,,,,,,,,,,,,,,,,,,,
208fecbf-f26a-42e7-9758-e0b91ed6b4dc,“The people who are crazy enough to think they can change the world are the ones who do.”,“The people who are crazy enough to think they can change the world are the ones who do.”... ,English,17,-0.5,negative,,,,,crazy,-0.5,negative,,“The people who are crazy enough to think they can change the world are the ones who do.”,Quote,-0.5,negative,4,,,,,,,,,,,,,,,,,,,,
899e7318-226a-4f49-b45e-e9e80869f27b,"Today marks a victory for equality, perseverance and love.","Today marks a victory for equality, perseverance and love... ",English,4,0.650000036,positive,,,,,victory,0.75,positive,,,,,,,,,,,,,,,,,,,,,,,,,,
899e7318-226a-4f49-b45e-e9e80869f27b,"Today marks a victory for equality, perseverance and love.","Today marks a victory for equality, perseverance and love... ",English,4,0.650000036,positive,,,and,,love,0.600000024,positive,,,,,,,,,,,,,,,,,,,,,,,,,,
899e7318-226a-4f49-b45e-e9e80869f27b,"Today marks a victory for equality, perseverance and love.","Today marks a victory for equality, perseverance and love... ",English,4,0.650000036,positive,,,,,perseverance,0.600000024,positive,,,,,,,,,,,,,,,,,,,,,,,,,,
b72e9401-8faf-4143-b042-462b9f72e80b,My thoughts are with the victim's families in SC.Let us honor their lives by eradicating racism &amp; removing the symbols &amp; words that feed it.,My thoughts are with the victim's families in SC.Let us honor their lives by eradicating racism &amp; removing the symbols &amp; words that feed it... ,English,13,-0.234670848,negative,,,,,victim,-0.49000001,negative,,,,,,,eradicating racism,-0.49000001,negative,4,,,,,,,,,,,,,,,,
b72e9401-8faf-4143-b042-462b9f72e80b,My thoughts are with the victim's families in SC.Let us honor their lives by eradicating racism &amp; removing the symbols &amp; words that feed it.,My thoughts are with the victim's families in SC.Let us honor their lives by eradicating racism &amp; removing the symbols &amp; words that feed it... ,English,13,-0.234670848,negative,,,,,eradicating,-0.49000001,negative,,,,,,,,,,,,,,,,,,,,,,,,,,
b72e9401-8faf-4143-b042-462b9f72e80b,My thoughts are with the victim's families in SC.Let us honor their lives by eradicating racism &amp; removing the symbols &amp; words that feed it.,My thoughts are with the victim's families in SC.Let us honor their lives by eradicating racism &amp; removing the symbols &amp; words that feed it... ,English,13,-0.234670848,negative,,,,,racism,-0.49000001,negative,,,,,,,,,,,,,,,,,,,,,,,,,,
b72e9401-8faf-4143-b042-462b9f72e80b,My thoughts are with the victim's families in SC.Let us honor their lives by eradicating racism &amp; removing the symbols &amp; words that feed it.,My thoughts are with the victim's families in SC.Let us honor their lives by eradicating racism &amp; removing the symbols &amp; words that feed it... ,English,13,-0.234670848,negative,,,,,honor,0.531316638,positive,,,,,,,,,,,,,,,,,,,,,,,,,,
f75053d8-ec90-43a0-b6a3-5de9cfd4947f,Had a great time meeting customers and our team at the Apple Store Boylston St in Boston. Enjoy your Apple Watches! http://t.co/7AOGyCSW9i,Had a great time meeting customers and our team at the Apple Store Boylston St in Boston... ,English,18,0.790000021,positive,,,,,Enjoy,0.980000019,positive,,Apple,Company,0.980000019,positive,5,great time,0.600000024,positive,4,,,,Banking,0.468470484,0.600000024,positive,,,,,,,,,
f75053d8-ec90-43a0-b6a3-5de9cfd4947f,Had a great time meeting customers and our team at the Apple Store Boylston St in Boston. Enjoy your Apple Watches! http://t.co/7AOGyCSW9i,Had a great time meeting customers and our team at the Apple Store Boylston St in Boston... ,English,18,0.790000021,positive,,,,,great time,0.600000024,positive,,Store Boylston St,Place,0,neutral,2,meeting customers,0.695000052,positive,4,,,,,,,,,,,,,,,,
f75053d8-ec90-43a0-b6a3-5de9cfd4947f,Had a great time meeting customers and our team at the Apple Store Boylston St in Boston. Enjoy your Apple Watches! http://t.co/7AOGyCSW9i,Had a great time meeting customers and our team at the Apple Store Boylston St in Boston... ,English,18,0.790000021,positive,,,,,,,,,Boston,Place,0,neutral,2,,,,,,,,,,,,,,,,,,,,
f75053d8-ec90-43a0-b6a3-5de9cfd4947f,Had a great time meeting customers and our team at the Apple Store Boylston St in Boston. Enjoy your Apple Watches! http://t.co/7AOGyCSW9i,Had a great time meeting customers and our team at the Apple Store Boylston St in Boston... ,English,18,0.790000021,positive,,,,,,,,,  http://t.co/7AOGyCSW9i,Regex,0,neutral,0,,,,,,,,,,,,,,,,,,,,
55559f02-7c44-48d2-9bb3-4db5162b62cf,"Rise and shine, developers! #WWDC15","Rise and shine, developers!... ",English,2,0,neutral,,,,,,,,, #WWDC15,Pattern,0,neutral,2,,,,,,,,,,,,,,,,,,,,
7e7ee254-9aaf-46fa-bfba-ba1c1049de15,I'm incredibly impressed by these talented student scholarship winners. See you all tomorrow at #WWDC15 http://t.co/LN1ZXmCqGf,I'm incredibly impressed by these talented student scholarship winners... See you all tomorrow at  #WWDC15   http://t.co/LN1ZXmCqGf... ,English,10,0.610387921,positive,,,incredibly,,impressed,1,positive,, #WWDC15,Pattern,0,neutral,2,talented student scholarship winners,0.480517238,neutral,4,,,,,,,,,,,,,,,,
