Date (GMT),Handle,Name,Text,URL,Platform,Type,Retweet count,Favorite count
29/06/2015 00:31:12,@tim_cook,Tim Cook,"Great to celebrate with over 8,000 Apple employees, friends and families. Happy Pride everyone! #applepride http://t.co/2A9YD9z95B",https://twitter.com/tim_cook/status/615316549239308288,Twitter for iPhone,New,1368,2913
26/06/2015 15:06:13,@tim_cook,Tim Cook,“The people who are crazy enough to think they can change the world are the ones who do.”,https://twitter.com/tim_cook/status/614449593627979776,Twitter Web Client,New,12457,12642
26/06/2015 15:05:47,@tim_cook,Tim Cook,"Today marks a victory for equality, perseverance and love.",https://twitter.com/tim_cook/status/614449483292618752,Twitter Web Client,New,8035,10743
21/06/2015 19:28:08,@tim_cook,Tim Cook,My thoughts are with the victim's families in SC.Let us honor their lives by eradicating racism &amp; removing the symbols &amp; words that feed it.,https://twitter.com/tim_cook/status/612703567082688513,Twitter Web Client,New,2362,3568
17/06/2015 22:41:37,@tim_cook,Tim Cook,Had a great time meeting customers and our team at the Apple Store Boylston St in Boston. Enjoy your Apple Watches! http://t.co/7AOGyCSW9i,https://twitter.com/tim_cook/status/611302705768853506,Twitter for iPhone,New,858,2138
08/06/2015 11:21:46,@tim_cook,Tim Cook,"Rise and shine, developers! #WWDC15",https://twitter.com/tim_cook/status/607870124876394496,Twitter for iPad,New,7053,7702
08/06/2015 03:06:56,@tim_cook,Tim Cook,I'm incredibly impressed by these talented student scholarship winners. See you all tomorrow at #WWDC15 http://t.co/LN1ZXmCqGf,https://twitter.com/tim_cook/status/607745596254871552,Twitter for iPad,New,1312,3014
25/05/2015 14:03:53,@tim_cook,Tim Cook,Remembering and honoring the courageous men and women who sacrificed their lives in the fight for our country and our freedom.  #MemorialDay,https://twitter.com/tim_cook/status/602837494544015361,Twitter for iPad,New,1247,2194
17/05/2015 16:17:16,@tim_cook,Tim Cook,Congratulations and thank you to the GWU Class of 2015. Great progress is possible! #GWCommencement,https://twitter.com/tim_cook/status/599971959338827778,Twitter for iPhone,New,755,1371
15/05/2015 14:48:04,@tim_cook,Tim Cook,Heartbroken by the news of the passing of #BBKing.  He expressed what we felt like no one else. The thrill will never be gone. May he RIP.,https://twitter.com/tim_cook/status/599224733960261633,Twitter for iPad,New,944,1633
30/04/2015 13:59:19,@tim_cook,Tim Cook,Japan Post's new initiative has the power to improve care and quality of life for millions of seniors. http://t.co/vblxDgpSZm,https://twitter.com/tim_cook/status/593776650350891008,iOS,New,643,829
27/04/2015 14:17:17,@tim_cook,Tim Cook,"Congrats to @CTurlington! She smashed her personal record at the @LondonMarathon, finishing in 3:46:45. Inspiring! http://t.co/1qYjEy5klq",https://twitter.com/tim_cook/status/592694004388667394,Twitter Web Client,New,594,1527
