keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop,company
love,OTHER,0.104166671,70731,69143,70173,I'm backstage and this is my first tweet from my iPhone 6. It's amazing. You're going to love it.,27708,23291,26162,Apple
Apple,OTHER,4.92E-07,36063,45675,39422,Apple is open for everyone. We are deeply disappointed in Indiana's new law and calling on Arkansas Gov. to veto the similar #HB1228.,15074,17678,15985,Apple
great,OTHER,0.25500001,31563,28414,30459,"Remembering Steve, who would have turned 60 today. ""The only way to do great work is to love what you do."" http://t.co/0YD0gZ7jvm",23923,19376,22331,Apple
amazing,OTHER,0.330750008,30542,27143,29351,I'm backstage and this is my first tweet from my iPhone 6. It's amazing. You're going to love it.,27708,23291,26162,Apple
great day,OTHER,0.600000009,31614,20230,27628,Looking forward to a great day in Cupertino! Join us at 10am Pacific. #AppleLive,15807,10115,13814,Apple
Steve,OTHER,0,23923,19376,22331,"Remembering Steve, who would have turned 60 today. ""The only way to do great work is to love what you do."" http://t.co/0YD0gZ7jvm",23923,19376,22331,Apple
"""The only way to do great work is to love what you do.""",OTHER,0.600000024,23923,19376,22331,"Remembering Steve, who would have turned 60 today. ""The only way to do great work is to love what you do."" http://t.co/0YD0gZ7jvm",23923,19376,22331,Apple
http://t.co/0YD0gZ7jvm,LINK,0,23923,19376,22331,"Remembering Steve, who would have turned 60 today. ""The only way to do great work is to love what you do."" http://t.co/0YD0gZ7jvm",23923,19376,22331,Apple
great work,OTHER,0.600000024,23923,19376,22331,"Remembering Steve, who would have turned 60 today. ""The only way to do great work is to love what you do."" http://t.co/0YD0gZ7jvm",23923,19376,22331,Apple
Indiana,OTHER,-0.259849995,15074,17678,15985,Apple is open for everyone. We are deeply disappointed in Indiana's new law and calling on Arkansas Gov. to veto the similar #HB1228.,15074,17678,15985,Apple
disappointed,OTHER,-0.926100016,15074,17678,15985,Apple is open for everyone. We are deeply disappointed in Indiana's new law and calling on Arkansas Gov. to veto the similar #HB1228.,15074,17678,15985,Apple
Gov.,OTHER,-0.259849995,15074,17678,15985,Apple is open for everyone. We are deeply disappointed in Indiana's new law and calling on Arkansas Gov. to veto the similar #HB1228.,15074,17678,15985,Apple
