,keyword,keywordType,sentiment,sentimentType,id,tweet,retweets,favorites,popularity,,,,,
9/9/2014,love,OTHER,0.600000024,phrase,59625d36-1b0f-4894-a704-cd17f90ea163,I'm backstage and this is my first tweet from my iPhone 6. It's amazing. You're going to love it.,27708,23291,26162,,,,,
9/9/2014,amazing,OTHER,0.49000001,phrase,59625d36-1b0f-4894-a704-cd17f90ea163,I'm backstage and this is my first tweet from my iPhone 6. It's amazing. You're going to love it.,27708,23291,26162,,,,,
24/02/2015,great,OTHER,0.600000024,phrase,0c142f2b-5634-48d8-94db-ea0b3b784fe3,"Remembering Steve, who would have turned 60 today. ""The only way to do great work is to love what you do."" http://t.co/0YD0gZ7jvm",23923,19376,22332,,,,,
24/02/2015,Steve,OTHER,0,entity,0c142f2b-5634-48d8-94db-ea0b3b784fe3,"Remembering Steve, who would have turned 60 today. ""The only way to do great work is to love what you do."" http://t.co/0YD0gZ7jvm",23923,19376,22332,,,,,
24/02/2015,great work,OTHER,0.600000024,theme,0c142f2b-5634-48d8-94db-ea0b3b784fe3,"Remembering Steve, who would have turned 60 today. ""The only way to do great work is to love what you do."" http://t.co/0YD0gZ7jvm",23923,19376,22332,,,,,
24/02/2015,love,OTHER,0.600000024,phrase,0c142f2b-5634-48d8-94db-ea0b3b784fe3,"Remembering Steve, who would have turned 60 today. ""The only way to do great work is to love what you do."" http://t.co/0YD0gZ7jvm",23923,19376,22332,,,,,
24/02/2015,"""The only way to do great work is to love what you do.""",OTHER,0.600000024,entity,0c142f2b-5634-48d8-94db-ea0b3b784fe3,"Remembering Steve, who would have turned 60 today. ""The only way to do great work is to love what you do."" http://t.co/0YD0gZ7jvm",23923,19376,22332,,,,,
24/02/2015,http://t.co/0YD0gZ7jvm,LINK,0,entity,0c142f2b-5634-48d8-94db-ea0b3b784fe3,"Remembering Steve, who would have turned 60 today. ""The only way to do great work is to love what you do."" http://t.co/0YD0gZ7jvm",23923,19376,22332,,,,,
27/03/2015,disappointed,OTHER,-0.926100016,phrase,390828ad-feed-4579-92ff-fa1b2860dd8f,Apple is open for everyone. We are deeply disappointed in Indiana's new law and calling on Arkansas Gov. to veto the similar #HB1228.,15074,17678,15985,,,,,
27/03/2015,Apple,OTHER,-0.59297502,entity,390828ad-feed-4579-92ff-fa1b2860dd8f,Apple is open for everyone. We are deeply disappointed in Indiana's new law and calling on Arkansas Gov. to veto the similar #HB1228.,15074,17678,15985,,,,,
27/03/2015,new law,OTHER,-0.259849995,phrase,390828ad-feed-4579-92ff-fa1b2860dd8f,Apple is open for everyone. We are deeply disappointed in Indiana's new law and calling on Arkansas Gov. to veto the similar #HB1228.,15074,17678,15985,,,,,
27/03/2015,Indiana,OTHER,-0.259849995,entity,390828ad-feed-4579-92ff-fa1b2860dd8f,Apple is open for everyone. We are deeply disappointed in Indiana's new law and calling on Arkansas Gov. to veto the similar #HB1228.,15074,17678,15985,,,,,
27/03/2015,Gov.,OTHER,-0.259849995,entity,390828ad-feed-4579-92ff-fa1b2860dd8f,Apple is open for everyone. We are deeply disappointed in Indiana's new law and calling on Arkansas Gov. to veto the similar #HB1228.,15074,17678,15985,,,,,
27/03/2015,#HB1228,HASHTAG,-0.259849995,entity,390828ad-feed-4579-92ff-fa1b2860dd8f,Apple is open for everyone. We are deeply disappointed in Indiana's new law and calling on Arkansas Gov. to veto the similar #HB1228.,15074,17678,15985,,,,,
9/9/2014,great day,OTHER,0.800000012,phrase,2686dd18-b77e-48cc-9a43-d9ad713a9b91,Looking forward to a great day in Cupertino! Join us at 10am Pacific. #AppleLive,15807,10115,13815,,,,,
9/9/2014,#AppleLive,HASHTAG,0,entity,2686dd18-b77e-48cc-9a43-d9ad713a9b91,Looking forward to a great day in Cupertino! Join us at 10am Pacific. #AppleLive,15807,10115,13815,,,,,
9/9/2014,great day,OTHER,0.400000006,theme,2686dd18-b77e-48cc-9a43-d9ad713a9b91,Looking forward to a great day in Cupertino! Join us at 10am Pacific. #AppleLive,15807,10115,13815,,,,,
26/06/2015,crazy,OTHER,-0.5,phrase,208fecbf-f26a-42e7-9758-e0b91ed6b4dc,�The people who are crazy enough to think they can change the world are the ones who do.�,12457,12642,12522,,,,,
26/06/2015,�The people who are crazy enough to think they can change the world are the ones who do.�,OTHER,-0.5,entity,208fecbf-f26a-42e7-9758-e0b91ed6b4dc,�The people who are crazy enough to think they can change the world are the ones who do.�,12457,12642,12522,,,,,
30/03/2015,dangerous,OTHER,-0.872200012,phrase,d008c7fb-c6af-4db4-905d-e95397a91745,There's something very dangerous happening in states across the country.    http://t.co/QJTkCuZVdo,10393,7635,9428,,,,,
30/03/2015,http://t.co/QJTkCuZVdo,LINK,0,entity,d008c7fb-c6af-4db4-905d-e95397a91745,There's something very dangerous happening in states across the country.    http://t.co/QJTkCuZVdo,10393,7635,9428,,,,,
30/09/2014,Amazing,OTHER,0.49000001,phrase,a66554a0-d16f-423b-814a-2ad84f2ee863,Amazing to see the excited crowds today in Paris to preview Apple Watch for the first time at @coletteparis http://t.co/YTqzbqSGhC,13103,1971,9207,,,,,
30/09/2014,Paris,OTHER,0.27621451,entity,a66554a0-d16f-423b-814a-2ad84f2ee863,Amazing to see the excited crowds today in Paris to preview Apple Watch for the first time at @coletteparis http://t.co/YTqzbqSGhC,13103,1971,9207,,,,,
