ID,Phrase,Phrase Sentiment,Entity,Entity Type,Entity Sentiment,Theme,Theme Sentiment
96a93801-2d8b-41e7-86f4-a84339fa66ef, #Pride,1.200000048, #SFPride,Pattern,1.800000072,whole world,0.75
96a93801-2d8b-41e7-86f4-a84339fa66ef,celebrate,0.600000024, @GoogleInCA,Person,0.600000024,,
96a93801-2d8b-41e7-86f4-a84339fa66ef,,, #andproud,Pattern,0.600000024,,
96a93801-2d8b-41e7-86f4-a84339fa66ef,,, #toget,Pattern,0.600000024,,
96a93801-2d8b-41e7-86f4-a84339fa66ef,,,  http://t.co/vOuoXtVjcc,Regex,0,,
28fe7a99-0705-4465-8c87-7685d3431f85,solidarity,0.519400001, #BlackLivesMatter,Pattern,0,,
28fe7a99-0705-4465-8c87-7685d3431f85,racism,0.49000001,  http://t.co/aAfUDZfUuA,Regex,0,,
318a35e7-3bdb-431e-b81b-533bc4ed62bc,Be careful,0.890200019, @GCallenQuotes,Person,0,extra security layers,0.5
318a35e7-3bdb-431e-b81b-533bc4ed62bc,security,0.5,  http://t.co/4iM0oCSLgp,Regex,0,Google account,0.597550035
716519ff-4e90-4625-9080-2c63b2fa0ab7,,, @jasfrisby,Person,0,,
658e5da8-6821-4d63-8365-1018c66b7870, #pride,0.666000009, #pride,Pattern,0.666000009,,
658e5da8-6821-4d63-8365-1018c66b7870,,, #LoveWins,Pattern,0,,
658e5da8-6821-4d63-8365-1018c66b7870,,,https://t.co/lWttIejpKj,Regex,0,,
658e5da8-6821-4d63-8365-1018c66b7870,,,  http://t.co/gIHwu7JRA2,Regex,0,,
5b2da964-9b3c-4dc3-84fa-1d75fc9a612d,security,0.5, @rswhisper,Person,0,extra security layers,0.5
5b2da964-9b3c-4dc3-84fa-1d75fc9a612d,,,  http://t.co/4iM0oCSLgp,Regex,0,,
10bd1748-7bd6-4518-90dd-39292e6bf92a,security,0.5, @BarryTweeted,Person,0,extra security layers,0.5
10bd1748-7bd6-4518-90dd-39292e6bf92a,not good,-0.400000006,  http://t.co/4iM0oCSLgp,Regex,0,Google account,0.275000006
10bd1748-7bd6-4518-90dd-39292e6bf92a,,,,,,,
10bd1748-7bd6-4518-90dd-39292e6bf92a,,,,,,,
ae0a6045-15d3-4411-927d-5034e31245ff,,, @Jimtistik_,Person,0,,
a738112d-25dc-4639-8b02-7a97675228bd,top,0.300000012, #lovewins,Pattern,0.300000012,top search,0.300000012
a738112d-25dc-4639-8b02-7a97675228bd,,, @GoogleTrends,Person,0,,
a738112d-25dc-4639-8b02-7a97675228bd,,,  http://t.co/MMtbFlvjXK,Regex,0,,
a738112d-25dc-4639-8b02-7a97675228bd,,,,,,,
a738112d-25dc-4639-8b02-7a97675228bd,,,,,,,
b120bf97-1ba4-4a86-baf0-4de825890b69,proud,1.200000048, #AndProud,Pattern,0,marriage equality,1.200000048
b120bf97-1ba4-4a86-baf0-4de825890b69,celebrate,1.200000048,https://t.co/jDadChCZuJ,Regex,0,,
b120bf97-1ba4-4a86-baf0-4de825890b69,,,  http://t.co/kkFajfK4SE,Regex,0,,
c6a4ee74-ec79-4881-9c16-a2ab4aa054f0, #ProudToLove,1.200000048, #ProudToLove,Pattern,1.200000048,right direction today,0.600000024
c6a4ee74-ec79-4881-9c16-a2ab4aa054f0,,, @YouTube,Person,0,,
c6a4ee74-ec79-4881-9c16-a2ab4aa054f0,,,https://t.co/rcbVwtd8iM,Regex,0,,
c6a4ee74-ec79-4881-9c16-a2ab4aa054f0,,,  http://t.co/NvusiL6NWF,Regex,0,,
c0b38e99-07fd-4193-8101-fdddc105038d,,, @yvonnexclarisse,Person,0,,
c0b38e99-07fd-4193-8101-fdddc105038d,,,  http://t.co/qscGpvsxmT,Regex,0,,
b61f6c5b-2209-4b20-9f12-b4f8e0b3b2db,Be careful,0.890200019, @PrymeMC,Person,0,extra security layers,0.5
b61f6c5b-2209-4b20-9f12-b4f8e0b3b2db,security,0.5,  http://t.co/4iM0oCSLgp,Regex,0,Google account,0.597550035
ca83f1d4-2fda-44e3-a5c3-5f87ed474e18,,, @Usmanthegeek,Person,0,,
ca83f1d4-2fda-44e3-a5c3-5f87ed474e18,,,  http://t.co/qscGpvsxmT,Regex,0,,
68ef62d3-81aa-4109-a799-ea6d01342177,,,Alabama,Place,0,former coal power plant,0
68ef62d3-81aa-4109-a799-ea6d01342177,,,  http://t.co/O8J2sCDl6F,Regex,0,,
68ef62d3-81aa-4109-a799-ea6d01342177,,,  http://t.co/1CXQabGKK6,Regex,0,,
7b58b4c6-6f49-4a5b-be6d-044845e50a26,,,Join Lynn Hill,Person,0,,
7b58b4c6-6f49-4a5b-be6d-044845e50a26,,, @tommycaldwell1,Person,0,,
7b58b4c6-6f49-4a5b-be6d-044845e50a26,,, @alexhonnold,Person,0,,
7b58b4c6-6f49-4a5b-be6d-044845e50a26,,,El Capitan,Place,0,,
7b58b4c6-6f49-4a5b-be6d-044845e50a26,,, #YosemiteStreetView,Pattern,0,,
df2ab731-5fb9-490b-9f25-949c417ad574,security,0.5, @ImMrJoshua,Person,0,extra security layers,0.5
df2ab731-5fb9-490b-9f25-949c417ad574,,,  http://t.co/4iM0oCSLgp,Regex,0,Google account,0.5
df2ab731-5fb9-490b-9f25-949c417ad574,,,,,,,
df2ab731-5fb9-490b-9f25-949c417ad574,,,,,,,
1847ebab-f46a-4480-9f5a-5a619a70259c,,, @cami_kalman,Person,0,,
1847ebab-f46a-4480-9f5a-5a619a70259c,,,  http://t.co/qscGpvsxmT,Regex,0,,
a09818db-00b0-418f-aca9-2436c0589f9a, #SavedByUndoSend,0.558693171, #oops,Pattern,0.558693171,,
a09818db-00b0-418f-aca9-2436c0589f9a,really wanted,0.300000012, #SavedByUndoSend,Pattern,0.558693171,,
a09818db-00b0-418f-aca9-2436c0589f9a,,, @inboxbygmail,Person,0,,
a09818db-00b0-418f-aca9-2436c0589f9a,,,https://t.co/b,Regex,0,,
574afbf1-149f-4583-b6e1-1dd5efcc7260, #SavedByUndoSend,0.558693171, #SavedByUndoSend,Pattern,0.558693171,,
574afbf1-149f-4583-b6e1-1dd5efcc7260,,, @gmail,Person,0,,
574afbf1-149f-4583-b6e1-1dd5efcc7260,,,“Undo Send”,Quote,0,,
574afbf1-149f-4583-b6e1-1dd5efcc7260,,,https://t.co/ar0p7M5dJN,Regex,0,,
32e46c55-b12e-43b4-b1b3-2a7704b71d27,Free music,0.208085001, @GooglePlayMusic,Person,0.208085001,Free music,0.208085001
32e46c55-b12e-43b4-b1b3-2a7704b71d27,,,  http://t.co/1ehdgrBHOX,Regex,0,dance floor,0.208085001
32e46c55-b12e-43b4-b1b3-2a7704b71d27,,,,,,,
32e46c55-b12e-43b4-b1b3-2a7704b71d27,,,,,,,
32e46c55-b12e-43b4-b1b3-2a7704b71d27,,,,,,,
32e46c55-b12e-43b4-b1b3-2a7704b71d27,,,,,,,
72a6d164-d57d-4524-8f93-670b1a2e4994,,,,,,,
8d1f2425-9293-4c27-a37e-3cac4f06e938,,, #solarimpulse,Pattern,0,solar-powered plane,0
8d1f2425-9293-4c27-a37e-3cac4f06e938,,,  http://t.co/7I8Cp5kqbE,Regex,0,historic flight,0
8d1f2425-9293-4c27-a37e-3cac4f06e938,,,  http://t.co/XCreje9kGo,Regex,0,,
31c34097-fd38-42fb-bec4-067fdb3bf26e,awarding,0.552999973, #GoogleImpactChallenge,Pattern,0.459500015,,
31c34097-fd38-42fb-bec4-067fdb3bf26e,better,0.366000026, @Googleorg,Person,0,,
31c34097-fd38-42fb-bec4-067fdb3bf26e,,,  http://t.co/K4brRhmD08,Regex,0,,
dd7560ed-c12c-43c0-a14a-af0886d98c95,top,0.300000012, #WWC2015,Pattern,0,,
dd7560ed-c12c-43c0-a14a-af0886d98c95,,, #MoreThanAMatch,Pattern,0,,
dd7560ed-c12c-43c0-a14a-af0886d98c95,,,  http://t.co/thzIgo9umR,Regex,0,,
3470cea1-f723-4d44-b6fa-62764a768a36,good,0.5, @caylersyoo,Person,0,extra security layers,0.5
3470cea1-f723-4d44-b6fa-62764a768a36,security,0.5,  http://t.co/4iM0oCSLgp,Regex,0,Google account,0.5
74a9696c-dd37-44ec-9718-5d72f1a1111e,Be careful,0.890200019, @RPNerd,Person,0,extra security layers,0.5
74a9696c-dd37-44ec-9718-5d72f1a1111e,security,0.5,  http://t.co/4iM0oCSLgp,Regex,0,Google account,0.597550035
74a9696c-dd37-44ec-9718-5d72f1a1111e,,,,,,,
74a9696c-dd37-44ec-9718-5d72f1a1111e,,,,,,,
9e82a286-5368-4317-a812-5dd88a30a7de,,, @loganmac301,Person,0,,
9e82a286-5368-4317-a812-5dd88a30a7de,,,Hi Logan,Person,0,,
3a1a5108-dd5d-4dc7-8756-a43fa5194ea1,,, @caylersyoo,Person,0,,
2d2705ce-e487-4073-8c4f-e4740ff9e3ac,,, @guadalupejoann_,Person,0,,
2d2705ce-e487-4073-8c4f-e4740ff9e3ac,,,  http://t.co/qscGpvsxmT,Regex,0,,
c3f54b30-5773-43a7-8ce9-d8b24984ba9c,security,0.5, @exorre,Person,0,extra security layers,0.5
c3f54b30-5773-43a7-8ce9-d8b24984ba9c,,,  http://t.co/4iM0oCSLgp,Regex,0,Google account,0.5
543a8f85-aa19-4375-b075-3a0cee851e83,best,0.49000001, #JustAsk,Pattern,0,Summer questions,0.367500007
543a8f85-aa19-4375-b075-3a0cee851e83,,, #OkGoogle,Pattern,0,,
543a8f85-aa19-4375-b075-3a0cee851e83,,, #SummerSolstice,Pattern,0,,
543a8f85-aa19-4375-b075-3a0cee851e83,,,"""research!""",Quote,0,,
543a8f85-aa19-4375-b075-3a0cee851e83,,,https://t.co/6iqRqZISp3,Regex,0,,
e8658d69-9589-496b-a7c0-8583f206f0f3,Happy,1, #JustAsk,Pattern,0,great dad,0.600000024
e8658d69-9589-496b-a7c0-8583f206f0f3,great,0.600000024,https://t.co/jV4j4m5geY,Regex,0,,
aadf4850-d196-4a7d-a0a5-91d01485f20f,,, #JustAsk,Pattern,0,messages hands,0
aadf4850-d196-4a7d-a0a5-91d01485f20f,,, #OkGoogle,Pattern,0,,
aadf4850-d196-4a7d-a0a5-91d01485f20f,,,https://t.co/MKjYPIGdUt,Regex,0,,
15b544ce-caca-42c8-84ed-1408c91797ea,be careful,0.890200019, @amesterrz,Person,0,extra security layers,0.5
15b544ce-caca-42c8-84ed-1408c91797ea,security,0.5,  http://t.co/4iM0oCSLgp,Regex,0,Google account,0.597550035
15b544ce-caca-42c8-84ed-1408c91797ea,,,,,,,
15b544ce-caca-42c8-84ed-1408c91797ea,,,,,,,
e67959e4-e4b9-47cf-aeab-c6e5db3f4078, #Pride,0.600000024, #Pride,Pattern,0.600000024,,
e67959e4-e4b9-47cf-aeab-c6e5db3f4078,,, @Android,Person,0,,
e67959e4-e4b9-47cf-aeab-c6e5db3f4078,,, #andproud,Pattern,0,,
e67959e4-e4b9-47cf-aeab-c6e5db3f4078,,,  http://t.co/IgmrkIARFr,Regex,0,,
e67959e4-e4b9-47cf-aeab-c6e5db3f4078,,,  http://t.co/lTnUGhPJXf,Regex,0,,
8a2b9c22-22e8-4f07-90c8-541bcf540ad4,Be careful,0.890200019, @FVCKTWELVE,Person,0,extra security layers,0.5
8a2b9c22-22e8-4f07-90c8-541bcf540ad4,security,0.5,  http://t.co/4iM0oCSLgp,Regex,0,Google account,0.597550035
55b21aa8-0967-4e81-953b-d3ff7c587027,,, @lzyassedprophet,Person,0,,
55b21aa8-0967-4e81-953b-d3ff7c587027,,,  http://t.co/qscGpvsxmT,Regex,0,,
8bdba6af-40cc-4aef-82db-bb04e642fc8c,security,0.5, @weshendrix1,Person,0,extra security layers,0.5
8bdba6af-40cc-4aef-82db-bb04e642fc8c,,,  http://t.co/4iM0oCSLgp,Regex,0,Google account,0.5
8bdba6af-40cc-4aef-82db-bb04e642fc8c,,,,,,,
