keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop,company
@YouTube,USERNAME,1.37E-07,51071,82703,62121,RT YouTube: The United States took a step in the right direction today. https://t.co/rcbVwtd8iM #ProudToLove http://t.co/NvusiL6NWF,22658,31314,25687,Google
#ProudToLove,HASHTAG,0.50000002,47520,63314,53046,RT YouTube: The United States took a step in the right direction today. https://t.co/rcbVwtd8iM #ProudToLove http://t.co/NvusiL6NWF,22658,31314,25687,Google
http://t.co/NvusiL6NWF,LINK,0,22658,31314,25687,RT YouTube: The United States took a step in the right direction today. https://t.co/rcbVwtd8iM #ProudToLove http://t.co/NvusiL6NWF,22658,31314,25687,Google
@Android,USERNAME,4.90E-08,17577,13828,16248,RT Android: #AndroidLollipop rollout has started and will soon be available on most #Nexus devices. Dessert is served. http://t.co/XVFX2tEニ_,8043,4780,6900,Google
#GoogleTrends,HASHTAG,3.35E-21,48599,43034,46568,RT MesutOzil1088: Thanks for your great interest and support! ???? #GoogleTrends #GERvsGHA #ニ_zil #WorldCup http://t.co/QUF8cX8I6M,4349,4960,4562,Google
Google,OTHER,1.68E-08,15745,13598,14949,"Help #FightEbola. For every $1 you give, Google will give $2. Donate here: http://t.co/M8MOJYpwbX http://t.co/vRNMsYixiI",1002,764,918,Google
https://t.co/rcbVwtd8iM,LINK,0,22658,31314,25687,RT YouTube: The United States took a step in the right direction today. https://t.co/rcbVwtd8iM #ProudToLove http://t.co/NvusiL6NWF,22658,31314,25687,Google
http://t.co/SW3y1gsrK8,LINK,0,10209,19380,13418,RT YouTube: Turn down for #YouTubeRewind! http://t.co/hyVLI1V99z http://t.co/SW3y1gsrK8,10209,19380,13418,Google
Happy,OTHER,0.019615465,16445,14077,15594,Happy 3.1415926 (and counting)! #PiDay http://t.co/AKiMTLv1Vr,2149,1661,1978,Google
#OkGoogle,HASHTAG,5.18E-31,12058,12875,12297,Need help keeping up with your New Year's resolution to eat more veggies? #OkGoogle http://t.co/3hEnuqzE3U,1777,155,1209,Google
