keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop
IBM,OTHER,8.12E-07,33052,17453,27291,RT @tim_cook: Today Apple and IBM announced a landmark enterprise partnership.  Thanks Ginni!  #Apple #IBM http://t.co/0Rq48p7t7i,3680,2896,3405
#IBM,HASHTAG,0.005592113,6200,3824,5321,RT @tim_cook: Today Apple and IBM announced a landmark enterprise partnership.  Thanks Ginni!  #Apple #IBM http://t.co/0Rq48p7t7i,3680,2896,3405
@IBMWatson,USERNAME,4.19E-04,8566,3677,6749,RT @IBMWatson: Watson can analyze personality characteristics from a writing style. Try the demo @IBMBluemix: http://t.co/x1MzG7v1Yg http:/•À_,171,99,145
#MadeWithIBM,HASHTAG,0.004757878,2604,1548,2200,Smarter games are #MadeWithIBM. Here's how we put @rolandgarros in your pocket: http://t.co/jgTTBLJOk1 http://t.co/elQrpi7C27,331,851,513
#Apple,HASHTAG,0.075234498,3858,2997,3555,RT @tim_cook: Today Apple and IBM announced a landmark enterprise partnership.  Thanks Ginni!  #Apple #IBM http://t.co/0Rq48p7t7i,3680,2896,3405
Apple,OTHER,3.11E-05,7235,4177,6150,RT @tim_cook: Today Apple and IBM announced a landmark enterprise partnership.  Thanks Ginni!  #Apple #IBM http://t.co/0Rq48p7t7i,3680,2896,3405
#themasters,HASHTAG,0,6535,5178,6060,RT @TheMasters: Welcome to the Masters #aprilishere #themasters http://t.co/6yqsh4tZAP,6535,5178,6060
#DidYouKnow,HASHTAG,9.30E-23,1612,633,1256,#DidYouKnow: IBM mainframes powered #MissionControl when it opened 50 yrs ago at @NASA_Johnson http://t.co/CLRsThm7mk http://t.co/VzdHwFNG80,111,83,101
smarter decisions,OTHER,0.5,1595,1447,1541,RT @twitter: Twitter and IBM partner to help companies make smarter decisions using Twitter data: https://t.co/Jgeutik3DV http://t.co/QXXIR•À_,1372,968,1230
@IBM,USERNAME,1.24E-09,2921,1375,2324,RT @BoxHQ: We're teaming up with @IBM to transform work in the cloud: https://t.co/HqqP5g8Tyz http://t.co/tL8RUFakUw,213,242,223
landmark enterprise partnership,OTHER,0,3680,2896,3405,RT @tim_cook: Today Apple and IBM announced a landmark enterprise partnership.  Thanks Ginni!  #Apple #IBM http://t.co/0Rq48p7t7i,3680,2896,3405
@TheMasters,USERNAME,0,6535,5178,6060,RT @TheMasters: Welcome to the Masters #aprilishere #themasters http://t.co/6yqsh4tZAP,6535,5178,6060
#aprilishere,HASHTAG,0,6535,5178,6060,RT @TheMasters: Welcome to the Masters #aprilishere #themasters http://t.co/6yqsh4tZAP,6535,5178,6060
@IBMResearch,USERNAME,3.58E-11,2743,1200,2144,Happy #StarWarsDay from our @IBMResearch lab in Brazil: http://t.co/3m3oJS6d3t,169,134,156
http://t.co/6yqsh4tZAP,LINK,0,6535,5178,6060,RT @TheMasters: Welcome to the Masters #aprilishere #themasters http://t.co/6yqsh4tZAP,6535,5178,6060
enterprising,OTHER,1.287999988,949,925,940,"RT @tim_cook: Here come the most enterprising apps ever! IBM MobileFirst for iOS, Apple - Business - Mobile Enterprise Apps http://t.co/vXF•À_",949,925,940
Phenomenal play,OTHER,0.792564154,1327,672,1097,RT @Wimbledon: The stats in this #Wimbledon final couldn't have been closer. Phenomenal play by both men. #FederervsDjokovic final. http://•À_,1327,672,1097
@Wimbledon,USERNAME,0.040839647,1813,953,1506,RT @Wimbledon: The stats in this #Wimbledon final couldn't have been closer. Phenomenal play by both men. #FederervsDjokovic final. http://•À_,1327,672,1097
http://t.co/cgJ3u8ivtq,LINK,0,1378,1401,1386,IBM and @Twitter announce landmark partnership: https://t.co/zRnbJYsVzC #IBMandTwitter http://t.co/cgJ3u8ivtq,1378,1401,1386
#cloud,HASHTAG,1.07E-06,1872,609,1398,RT @IBMcloud: Big News! IBM acquires @BlueBox to accelerate open hybrid #cloud: http://t.co/icvitADtvL,153,63,121
@Twitter,USERNAME,0.040833334,1796,1831,1807,IBM and @Twitter announce landmark partnership: https://t.co/zRnbJYsVzC #IBMandTwitter http://t.co/cgJ3u8ivtq,1378,1401,1386
smarter,OTHER,0.047075683,1916,1545,1776,RT @twitter: Twitter and IBM partner to help companies make smarter decisions using Twitter data: https://t.co/Jgeutik3DV http://t.co/QXXIR•À_,1372,968,1230
CEO,OTHER,-1.40E-04,3607,1410,2805,IBM CEO Ginni Rometty &amp; Apple CEO Tim Cook unveil mobile enterprise partnership http://t.co/75hWBAm0bP http://t.co/6Nm9EbL5lP,300,119,236
@FortuneMagazine,USERNAME,0.003270104,889,386,704,IBM CEO Ginni Rometty tops @FortuneMagazine's Most Powerful Women list: http://t.co/pcbXqXZPXK http://t.co/mGsLLbBgl3,130,50,102
#IBMWatson,HASHTAG,3.31E-09,4543,1658,3478,"Today we are announcing the formation of a new IBM business unit, the #IBMWatson Group. More: http://t.co/sBnEIAbtoz http://t.co/682YG4Qe8E",205,55,152
#IBMandTwitter,HASHTAG,-9.81E-04,3113,3166,3122,IBM and @Twitter announce landmark partnership: https://t.co/zRnbJYsVzC #IBMandTwitter http://t.co/cgJ3u8ivtq,1378,1401,1386
high school,OTHER,0.011651597,1124,1634,1299,These 6 graduates just finished high school &amp; college in 4 years. Here's how: http://t.co/2Q0EOqlKBs  #IBMedu http://t.co/I0kr3talig,992,1545,1185
@twitter,USERNAME,0,1372,968,1230,RT @twitter: Twitter and IBM partner to help companies make smarter decisions using Twitter data: https://t.co/Jgeutik3DV http://t.co/QXXIR•À_,1372,968,1230
#Wimbledon,HASHTAG,0.001351608,2064,918,1654,RT @Wimbledon: The stats in this #Wimbledon final couldn't have been closer. Phenomenal play by both men. #FederervsDjokovic final. http://•À_,1327,672,1097
@tim_cook,USERNAME,0,5272,4650,5053,RT @tim_cook: Today Apple and IBM announced a landmark enterprise partnership.  Thanks Ginni!  #Apple #IBM http://t.co/0Rq48p7t7i,3680,2896,3405
#FederervsDjokovic,HASHTAG,0,1327,672,1097,RT @Wimbledon: The stats in this #Wimbledon final couldn't have been closer. Phenomenal play by both men. #FederervsDjokovic final. http://•À_,1327,672,1097
Paul Rand,OTHER,0.042990261,663,497,598,"Happy 100th birthday to Paul Rand, renowned designer &amp; IBM logo creator: http://t.co/h86uAnrMQD http://t.co/FwGXdotjr0",238,151,207
#innovation,HASHTAG,0.011620741,1205,427,913,A technological advancement from @IBMResearch opens the door to 400 Gbps internet http://t.co/Vfiklz7rVv  #innovation http://t.co/drz0z4JZfF,116,35,87
#IBMSessions,HASHTAG,0.008994119,937,268,683,Enjoy a new track we created w/ James Murphy &amp; tennis data on the @IBMcloud https://t.co/bg8SYulLu1 #IBMSessions,96,12,66
#Mainframe50,HASHTAG,6.95E-12,1006,341,765,"50 years ago today, the IBM System/360 mainframe was introduced: http://t.co/gQxCbLZHwx  #Mainframe50 http://t.co/tppkkFwPCb",439,165,343
#ApacheSpark,HASHTAG,0.102851937,670,993,782,IBM announces major commitment to advance #ApacheSpark: http://t.co/gXYQgVia3l  #SparkInsight http://t.co/1pwaOs0uTD,545,923,677
