keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop
Intel,OTHER,1.01E-05,19032,28701,22343,.Jaguar F-Type uses eye-sensing &amp; distraction detection tech powered by Intel http://t.co/f2axkHuyln #IOT #CES2015 http://t.co/TweIgOORo3,2364,4563,3133
#CES2015,HASHTAG,0.006,17565,28382,21299,.Jaguar F-Type uses eye-sensing &amp; distraction detection tech powered by Intel http://t.co/f2axkHuyln #IOT #CES2015 http://t.co/TweIgOORo3,2364,4563,3133
#MWC15,HASHTAG,0.016666949,8652,13649,10385,Want to see the game from an athlete's POV? The wearable shirt from FirstV1sion makes it so. #MWC15 http://t.co/AkSHvgqrSD,2746,4820,3471
#iQ,HASHTAG,1.11E-04,11041,21737,14758,"A cocktail dress with a kick, check out the Spider Dress at the #Intel booth: http://t.co/YHPnFVljxA #iQ #CES2015 http://t.co/h2BWBBN3Ce",1229,2833,1790
#Intel,HASHTAG,1.57E-04,11071,20337,14289,Sexy with security. The #SamsungGalaxyS6Edge with curved display ships with McAfee VirusScan Mobile. #Intel #MWC15 http://t.co/hz9yPmtmcf,2688,4877,3454
#DidYouKnow,HASHTAG,-2.77E-26,10670,9094,10079,#DidYouKnow it cost 7 million dollars to build the Titanic and 200 million to make a film about it.,930,766,872
inspired,OTHER,0.168750007,7003,10649,8277,"Farewell, Leonard Nimoy. You inspired us to always keep reaching for the final frontier. #RIPNimoy http://t.co/P7KkDGBehd",5711,7326,6276
final frontier,OTHER,0.212033004,11422,14652,12552,"Farewell, Leonard Nimoy. You inspired us to always keep reaching for the final frontier. #RIPNimoy http://t.co/P7KkDGBehd",5711,7326,6276
@Intel,USERNAME,2.53E-04,3714,3999,3789,This revolution will be wearable •À_ watch the Intel #CES2015 keynote Tues (1/6) at 4:20PT http://t.co/80ASJZGEJl http://t.co/1EAK6RFZkF,509,747,592
#IntelTablets,HASHTAG,-9.32E-10,7313,14364,9755,#IntelTablets are helping students &amp; teachers find new ways of engaging in the classroom:  http://t.co/BNShR1hMNG http://t.co/3eZmAewTDl,515,1033,696
#2in1,HASHTAG,0.003571421,9435,21008,13447,Unplug in Hong Kong: Intel-powered #2in1 battery life gives you more time between charges. http://t.co/uaH1ddiang http://t.co/NHgPXvu7p6,549,1961,1043
#MothersOfInvention,HASHTAG,0.076088044,3614,6854,4744,Marie Curie was the 1st woman to win the Nobel Prize. Twice. #Inspired #MothersOfInvention http://t.co/RizrWAnStQ http://t.co/G08HVyT753,1190,1871,1428
security,OTHER,0.056717648,2957,5164,3725,Sexy with security. The #SamsungGalaxyS6Edge with curved display ships with McAfee VirusScan Mobile. #Intel #MWC15 http://t.co/hz9yPmtmcf,2688,4877,3454
#Oscars,HASHTAG,0,2388,5477,3467,You helped us all see #StephenHawking through an inspired lens. Congrats Eddie! http://t.co/oStjLbOwEg #Oscars http://t.co/hkgalFEh6E,1170,3140,1859
#WhatsNext,HASHTAG,0,4479,9294,6156,"Hang on to your eyes, your tusks, and your teeth! With True Key by Intel your face is your password. #WhatsNexthttps://t.co/okxcIua6yB",858,1457,1067
#RIPNimoy,HASHTAG,0,5711,7326,6276,"Farewell, Leonard Nimoy. You inspired us to always keep reaching for the final frontier. #RIPNimoy http://t.co/P7KkDGBehd",5711,7326,6276
best,OTHER,0.02731215,2667,5765,3744,We've got lots of new #Android treats on display at #CES2015 and here's the best of the best. http://t.co/SASh4jbZsu http://t.co/U6xMsXmiLD,1926,4623,2869
http://t.co/hz9yPmtmcf,LINK,0,2688,4877,3454,Sexy with security. The #SamsungGalaxyS6Edge with curved display ships with McAfee VirusScan Mobile. #Intel #MWC15 http://t.co/hz9yPmtmcf,2688,4877,3454
wearable shirt,OTHER,0,2746,4820,3471,Want to see the game from an athlete's POV? The wearable shirt from FirstV1sion makes it so. #MWC15 http://t.co/AkSHvgqrSD,2746,4820,3471
#IEM,HASHTAG,0.02173913,5299,7932,6202,RT ESL: There are no words to describe how far #esports has come. Amazing atmosphere in Katowice! #IEM #ESLOne http://t.co/kDDOpGXndv,1323,1378,1342
#Expertmode,HASHTAG,0.229166672,4940,8676,6246,#Expertmode goes into #gaming overdrive with Intel-powered #Thermalthor at #Computex2015. http://t.co/uKNyTGBAAE,2162,3868,2759
#wearables,HASHTAG,4.54E-08,4403,8685,5885,"#wearables move beyond geek chic for 2015. Read about the fashionable, functional future: http://t.co/hvk5qqgBwN http://t.co/p5hm5lXtXf",1031,2712,1619
#Computex2015,HASHTAG,0.012903226,7129,13478,9336,#Expertmode goes into #gaming overdrive with Intel-powered #Thermalthor at #Computex2015. http://t.co/uKNyTGBAAE,2162,3868,2759
#lookinside,HASHTAG,0.001648351,2067,2702,2283,"Make a man an arm, change a life. Teach him to make arms, change the world. http://t.co/QGczbq102f #lookinside http://t.co/5xco6yso7O",1311,1683,1441
Sexy,OTHER,0.400000006,2688,4877,3454,Sexy with security. The #SamsungGalaxyS6Edge with curved display ships with McAfee VirusScan Mobile. #Intel #MWC15 http://t.co/hz9yPmtmcf,2688,4877,3454
http://t.co/YHPnFVljxA,LINK,0,1229,2833,1790,"A cocktail dress with a kick, check out the Spider Dress at the #Intel booth: http://t.co/YHPnFVljxA #iQ #CES2015 http://t.co/h2BWBBN3Ce",1229,2833,1790
http://t.co/f2axkHuyln,LINK,0,2364,4563,3133,.Jaguar F-Type uses eye-sensing &amp; distraction detection tech powered by Intel http://t.co/f2axkHuyln #IOT #CES2015 http://t.co/TweIgOORo3,2364,4563,3133
distraction detection tech,OTHER,0,2364,4563,3133,.Jaguar F-Type uses eye-sensing &amp; distraction detection tech powered by Intel http://t.co/f2axkHuyln #IOT #CES2015 http://t.co/TweIgOORo3,2364,4563,3133
Jim Parsons,OTHER,0.001572324,1854,3046,2267,"With Intel technology, your face is your password. Looks like Jim Parsons' account is safe. #whatsnext https://t.co/IF075OHAFA",747,1137,883
#RealSense,HASHTAG,1.28E-09,2361,4309,3033,Can you spot the dog &amp; alien? See what else you'll find with #RealSense: http://t.co/a1QszCJNbb http://t.co/OHmyDF2Jk4,1006,2125,1397
#SamsungGalaxyS6Edge,HASHTAG,0.25,2779,4973,3546,Sexy with security. The #SamsungGalaxyS6Edge with curved display ships with McAfee VirusScan Mobile. #Intel #MWC15 http://t.co/hz9yPmtmcf,2688,4877,3454
Leonard Nimoy,OTHER,0,5711,7326,6276,"Farewell, Leonard Nimoy. You inspired us to always keep reaching for the final frontier. #RIPNimoy http://t.co/P7KkDGBehd",5711,7326,6276
http://t.co/P7KkDGBehd,LINK,0,5711,7326,6276,"Farewell, Leonard Nimoy. You inspired us to always keep reaching for the final frontier. #RIPNimoy http://t.co/P7KkDGBehd",5711,7326,6276
awesome,OTHER,0.034325059,1309,2071,1569,Congrats to Cloud9gg #IEM San Jose #LeagueOfLegends champions! What an awesome performance! ???? http://t.co/JgvbGzhzRA,713,1280,911
win,OTHER,0.071305137,2520,4239,3117,Marie Curie was the 1st woman to win the Nobel Prize. Twice. #Inspired #MothersOfInvention http://t.co/RizrWAnStQ http://t.co/G08HVyT753,1190,1871,1428
http://t.co/0PKpOS9OQp,LINK,0,1430,2924,1952,Imagine a computing world of no wires. #Intel #Computex2015 http://t.co/0PKpOS9OQp http://t.co/aN1zgjJrjh,1430,2924,1952
#StephenHawking,HASHTAG,0.031078478,2369,5403,3429,You helped us all see #StephenHawking through an inspired lens. Congrats Eddie! http://t.co/oStjLbOwEg #Oscars http://t.co/hkgalFEh6E,1170,3140,1859
#empowering,HASHTAG,0,1358,1706,1479,RT Microsoft: One of our TWO Super Bowl commercials this year: Estella's Brilliant Bus#empowering #SB49https://t.co/Ic4zb6Gwy4,1358,1706,1479
http://t.co/AkSHvgqrSD,LINK,0,2746,4820,3471,Want to see the game from an athlete's POV? The wearable shirt from FirstV1sion makes it so. #MWC15 http://t.co/AkSHvgqrSD,2746,4820,3471
#Intel-powered,HASHTAG,1.84E-05,1968,3648,2551,"Up close with Acer Predator, the newest #Intel-powered mobile device for gaming and more. #Computex2015 http://t.co/3w7smJ3flk",508,1078,707
