ID,Phrase,Phrase Sentiment,Entity,Entity Type,Entity Sentiment,Theme,Theme Sentiment
64b35023-f37b-46c1-ad83-eaa215d081c7,happy,1, PetalsofPerfect,Person,0.5,,
2c65ffe9-1b35-4338-b475-32e4e95fdbc4,,, aprakash_ap,Person,0,,
2ef3ae4b-40fd-496c-b089-18809abcda83,love,1.200000048, thextermeist,Person,1.200000048,,
f2b41f11-9640-415d-940c-fe699df6fa03,,,https://t.co/PMhr2dL7Sz,Regex,0,computer science programs,0
f2b41f11-9640-415d-940c-fe699df6fa03,,,,,,,
f2b41f11-9640-415d-940c-fe699df6fa03,,,,,,,
78429870-8b08-4b14-adda-6084b18cf758,historic moment,0.298817009, satyanadella,Person,0.298817009,historic moment,0.298817009
78429870-8b08-4b14-adda-6084b18cf758,,,America,Place,0.298817009,,
78429870-8b08-4b14-adda-6084b18cf758,,, #LoveWins,Pattern,0,,
360abba9-bd1b-4b57-b1d9-070868f845ea, #Dragon,-0.600000024, HoloLens,Person,-0.055000007,,
360abba9-bd1b-4b57-b1d9-070868f845ea,aid,0.49000001, SpaceX,Person,-0.055000007,,
360abba9-bd1b-4b57-b1d9-070868f845ea,,, #Dragon,Pattern,-0.055000007,,
360abba9-bd1b-4b57-b1d9-070868f845ea,,, Space_Station,Person,-0.055000007,,
360abba9-bd1b-4b57-b1d9-070868f845ea,,, Skype,Person,-0.055000007,,
4486aae4-69af-485a-ad0d-7c222264522a,,, accuweather,Person,0,,
4486aae4-69af-485a-ad0d-7c222264522a,,, MSFTResearch,Person,0,,
4486aae4-69af-485a-ad0d-7c222264522a,,, #BigData,Pattern,0,,
4486aae4-69af-485a-ad0d-7c222264522a,,,https://t.co/OvImeI9t3W,Regex,0,,
55341f7b-bd6a-4a3b-a7b9-d66ecb92ca46,,, AccuWeather,Person,0,,
55341f7b-bd6a-4a3b-a7b9-d66ecb92ca46,,, MSFTResearch,Person,0,,
55341f7b-bd6a-4a3b-a7b9-d66ecb92ca46,,, #BigData,Pattern,0,,
55341f7b-bd6a-4a3b-a7b9-d66ecb92ca46,,,https://t.co/PnuGQFu3Nq,Regex,0,,
5b341641-5d3e-46c0-ba7f-0d48dd59163c,,,"Miami, Florida",Place,0,school system,0
5b341641-5d3e-46c0-ba7f-0d48dd59163c,,,https://t.co/7PqAfL3c1l,Regex,0,,
6ad61dd9-50ee-43d0-9bae-a1f524c8b9a2,SideKick,0.471666664, Microsoft,Person,0.471666664,htt…,0.235833332
6ad61dd9-50ee-43d0-9bae-a1f524c8b9a2,,, Space_Station,Person,0,,
6ad61dd9-50ee-43d0-9bae-a1f524c8b9a2,,,NASA,Company,0,,
6ad61dd9-50ee-43d0-9bae-a1f524c8b9a2,,, SpaceX,Person,0,,
6ad61dd9-50ee-43d0-9bae-a1f524c8b9a2,,,  http://t.co/cjexiXYmWO,Regex,0,,
16c86f21-967c-44ad-883f-cf43c521d12b,love,0.600000024, GillianMarchenk,Person,0.600000024,Special Olympics,0.600000024
16c86f21-967c-44ad-883f-cf43c521d12b,,,,,,,
d21a4b42-df20-41c0-9d55-27597b4f4fa6,love,0.600000024, sararuh,Person,0.600000024,Special Olympics,0.600000024
d21a4b42-df20-41c0-9d55-27597b4f4fa6,,,,,,,
0d3337e5-1fe7-4274-907d-1f9fee69b75f, #PRIDE,0.600000024,Microsoft,Company,0.600000024,,
0d3337e5-1fe7-4274-907d-1f9fee69b75f,,, #PRIDE,Pattern,0.600000024,,
0d3337e5-1fe7-4274-907d-1f9fee69b75f,,,  http://t.co/NvHUAnUQ4L,Regex,0,,
0d3337e5-1fe7-4274-907d-1f9fee69b75f,,,  http://t.co/09GbqCiRpl,Regex,0,,
6bb11fe1-9eae-4276-a034-c9ee8be9a081, #EmpowerCreativity,0.980000019, #SurfaceArt,Pattern,0.264999986,,
6bb11fe1-9eae-4276-a034-c9ee8be9a081,beautiful,0.794999957, #CannesLions,Pattern,0.264999986,,
6bb11fe1-9eae-4276-a034-c9ee8be9a081,,, #EmpowerCreativity,Pattern,0.980000019,,
6bb11fe1-9eae-4276-a034-c9ee8be9a081,,, surface,Person,0,,
6bb11fe1-9eae-4276-a034-c9ee8be9a081,,,  http://t.co/TvWZKuUrJR,Regex,0,,
1093153f-678b-4c0a-8a5b-38338a39bf39,love,1.200000048, Timbahhh,Person,1.200000048,,
acd85241-904f-4430-9943-ead8af048d89,Glad,0.5, ShML_,Person,0,,
acd85241-904f-4430-9943-ead8af048d89,enjoying,0.49000001,,,,,
339f43ad-8d74-471d-87d4-2579dbf27dfd,,,  http://t.co/fuyCep44ev,Regex,0,,
339f43ad-8d74-471d-87d4-2579dbf27dfd,,,  http://t.co/zMCi61M829,Regex,0,,
339f43ad-8d74-471d-87d4-2579dbf27dfd,,,,,,,
339f43ad-8d74-471d-87d4-2579dbf27dfd,,,,,,,
8123736d-1807-4496-a20f-c4ab4f4cc2ce,,, Lenovo,Person,0,,
8123736d-1807-4496-a20f-c4ab4f4cc2ce,,,Pina Colodas,Person,0,,
8123736d-1807-4496-a20f-c4ab4f4cc2ce,,, #andgettingcaughtintherain,Pattern,0,,
4bceddf9-19cf-4988-b47c-ad2dcadaee49,great,1.200000048, bvrhovnik,Person,1.200000048,great setup,0.600000024
3d774730-448b-4f8f-9b40-5fee1abca40b,glad,1, 4dsuda,Person,0.5,,
ce9085fc-5b7f-4641-bd04-b27a665a404b,magical,0.635999978, lenovo,Person,0.635999978,magical times,0.635999978
ce9085fc-5b7f-4641-bd04-b27a665a404b,,,,,,together next,0.317999989
a24bc022-fc24-43a2-8196-b0dd7a667201,,,Ron Finley,Person,0,urban food revolution,0
a24bc022-fc24-43a2-8196-b0dd7a667201,,,  http://t.co/gyOcKcZv30,Regex,0,,
bbcc55cb-40bb-42e5-b866-3bc53b2751e7,,, Lenovo,Person,0,,
bbcc55cb-40bb-42e5-b866-3bc53b2751e7,,,"""Is that a computer on your keychain?”",Quote,0,,
bbcc55cb-40bb-42e5-b866-3bc53b2751e7,,,  http://t.co/FlPyJgMcAT,Regex,0,,
bbcc55cb-40bb-42e5-b866-3bc53b2751e7,,,  http://t.co/aoWIIs4qhU,Regex,0,,
bbcc55cb-40bb-42e5-b866-3bc53b2751e7,,,,,,,
bbcc55cb-40bb-42e5-b866-3bc53b2751e7,,,,,,,
bbcc55cb-40bb-42e5-b866-3bc53b2751e7,,,,,,,
84efa5b2-8cf6-46fc-b31e-b43776f78fa7,love,1.200000048, zeeeeeeeeeeshu,Person,1.200000048,,
9843a7dc-9d3a-4638-b0d5-0fb1e8def410,happy,1, PlatenReport,Person,0.5,,
74998065-34c7-4683-8429-5c8ec7002291,,, NASCAR,Person,0,,
74998065-34c7-4683-8429-5c8ec7002291,,, TeamHendrick,Person,0,,
74998065-34c7-4683-8429-5c8ec7002291,,,  http://t.co/W4Xo3orful,Regex,0,,
74998065-34c7-4683-8429-5c8ec7002291,,,  http://t.co/OM1j2PNqjd,Regex,0,,
ec07a67e-ad8d-40b7-b3c1-52e1dd7994b7,agree,0.90136236, HochKaren,Person,0,,
ec07a67e-ad8d-40b7-b3c1-52e1dd7994b7,,,,,,,
97c86bfe-875b-4b47-93a1-d517d4d2dd17,pioneering,0.545000017, MSFTnews,Person,0,big data analytics,0.289627999
97c86bfe-875b-4b47-93a1-d517d4d2dd17,big data,0.289627999,  http://t.co/hROn44Y6CF,Regex,0,,
97c86bfe-875b-4b47-93a1-d517d4d2dd17,,,  http://t.co/h43m4lHvOA,Regex,0,,
97c86bfe-875b-4b47-93a1-d517d4d2dd17,,,,,,,
97c86bfe-875b-4b47-93a1-d517d4d2dd17,,,,,,,
97c86bfe-875b-4b47-93a1-d517d4d2dd17,,,,,,,
97c86bfe-875b-4b47-93a1-d517d4d2dd17,,,,,,,
ed2806f6-3a7f-4eff-bfcf-5da079692848,glad,0.5,Washington,Place,0.5,tech institute,0.275233269
ed2806f6-3a7f-4eff-bfcf-5da079692848,new science,0.200311005,https://t.co/l9jYAFgBQP,Regex,0,founding partner,0.387616634
66ce8467-10b1-46cc-913a-b40f60cd9729,Great,0.600000024, satyanadella,Person,0.600000024,Great universities,0.600000024
66ce8467-10b1-46cc-913a-b40f60cd9729,big bet,0.370952994,  http://t.co/wPCPnvGySQ,Regex,0,lasting impact,0.485476494
66ce8467-10b1-46cc-913a-b40f60cd9729,,,,,,big bet,0.370952994
66ce8467-10b1-46cc-913a-b40f60cd9729,,,,,,,
6e452994-597a-4096-81a3-ad1e6611d9ff,groundbreaking,-0.545000017, MSFTnews,Person,0,,
6e452994-597a-4096-81a3-ad1e6611d9ff,,,  http://t.co/Lq5tdvj3O0,Regex,0,,
6e452994-597a-4096-81a3-ad1e6611d9ff,,,  http://t.co/U4Ruio8oov,Regex,0,,
9fd7d68f-f2df-4fe9-92d3-bedf78c397ad,,,https://t.co/QinKMtAWAq,Regex,0,,
9fd7d68f-f2df-4fe9-92d3-bedf78c397ad,,,,,,,
d5c4809c-bee6-40cf-9a96-70d162e2ccb2,ultimate,0.67298609, MicrosoftBand,Person,0.67298609,wearable technology,0.67298609
d5c4809c-bee6-40cf-9a96-70d162e2ccb2,,, #golf,Pattern,0.67298609,,
d5c4809c-bee6-40cf-9a96-70d162e2ccb2,,, TaylorMadeGolf,Person,0,,
d5c4809c-bee6-40cf-9a96-70d162e2ccb2,,,  http://t.co/4h2hTHioNE,Regex,0,,
83d09a24-0b11-45d4-b14a-2c36bea4f14c,interested,0.600000024, ReecesRainbow,Person,0.600000024,Special Olympics,0.600000024
6f2d6fa0-96de-4866-bffb-7e88cb418aa7,interested,0.600000024, LuvSpecOlympics,Person,0.600000024,Special Olympics,0.600000024
9c5eadcd-ca68-457a-8758-7987d0886447,interested,0.600000024, yyc_jon,Person,0.600000024,Special Olympics,0.600000024
cf42a3f7-d01c-4e76-ae87-3789e6f0be42,interested,0.600000024, sararuh,Person,0.600000024,Special Olympics,0.600000024
b06eb918-b7d5-439c-90ca-592d47f873bf,interested,0.600000024, JohnCMcGinley,Person,0.600000024,Special Olympics,0.600000024
14c49abd-cb02-4b39-974a-afea7f593552,interested,0.600000024, GillianMarchenk,Person,0.600000024,Special Olympics,0.600000024
c84d318d-dc4e-42cc-96fa-575d039b9b82,infectious disease,-0.400000006,Microsoft,Company,-0.400000006,infectious disease,-0.400000006
c84d318d-dc4e-42cc-96fa-575d039b9b82,,,https://t.co/Q2IDWrL59Y,Regex,0,researcher study,-0.400000006
c84d318d-dc4e-42cc-96fa-575d039b9b82,,,,,,,
c84d318d-dc4e-42cc-96fa-575d039b9b82,,,,,,,
c84d318d-dc4e-42cc-96fa-575d039b9b82,,,,,,,
c84d318d-dc4e-42cc-96fa-575d039b9b82,,,,,,,
c84d318d-dc4e-42cc-96fa-575d039b9b82,,,,,,,
c84d318d-dc4e-42cc-96fa-575d039b9b82,,,,,,,
ef91fb63-5612-48dd-b9dd-7e6700d21ab8,,, akipman,Person,0,Warzone mode,0
ef91fb63-5612-48dd-b9dd-7e6700d21ab8,,,"""This is an image captured from my HoloLens experience, which was a training pre-brief for Halo 5's Warzone mode""",Quote,0,HoloLens experience,0
ef91fb63-5612-48dd-b9dd-7e6700d21ab8,,,,,,training pre-brief,0
94db5ad0-cfba-4c23-894c-9610941e4bfc,Glad,1, Sprokacola,Person,0.5,,
5038de27-9bf1-4233-95c7-40854e76d74c,personal goals,0.349999994, SamAndMattie,Person,0.259849012,personal goals,0.349999994
5038de27-9bf1-4233-95c7-40854e76d74c,then proceed,0.169698,https://t.co/8R3j5Y6nU7,Regex,0,,
9a02810a-c7ec-43ab-8593-5ff3bba9e27b,Love,1.200000048, satyanadella,Person,0,Xbox fans today,0.545000017
9a02810a-c7ec-43ab-8593-5ff3bba9e27b,enthusiasm,0.980000019, #XboxE3,Pattern,0,,
9a02810a-c7ec-43ab-8593-5ff3bba9e27b,,,  http://t.co/i0nvYlw97C,Regex,0,,
bc94a3f0-c77a-48e7-ae3d-7a01914c80e5,,, Generation_Ka0s,Person,0,,
b156aec9-5679-48b1-af5b-c809e78b3538,Glad,1, DArmstrong1992,Person,0.449999988,,
b156aec9-5679-48b1-af5b-c809e78b3538,excited,0.800000012,,,,,
91631043-fe84-4e0b-9ab6-b77e729b9ab8,,, ProC_Taken,Person,0,,
f4afdb6f-f0db-4043-b4fc-d8068d499142,Glad,0.5, EuphoricRock,Person,0.5,,
2788bcd6-d737-4db6-9098-46c87f6964e7,,, automatom,Person,0,,
2558f40b-6aea-4ab5-b980-19f444bb378b,Glad,1, ShawnWildermuth,Person,0.5,,
3e6f9690-f13c-44a8-b3f3-862694f2aa3f,Glad,0.5, OG_Gbaby,Person,0.5,,
57450350-c5dd-4f0e-a924-d96611885bdd,,,CEO,Job Title,0,,
57450350-c5dd-4f0e-a924-d96611885bdd,,, SatyaNadella,Person,0,,
57450350-c5dd-4f0e-a924-d96611885bdd,,, #XboxE3,Pattern,0,,
57450350-c5dd-4f0e-a924-d96611885bdd,,, #E32015,Pattern,0,,
57450350-c5dd-4f0e-a924-d96611885bdd,,,  http://t.co/jhb58lA0j4,Regex,0,,
b853bed2-55a2-4a3f-8de0-23846201f506,Glad,1, GregMacD88,Person,0.495000005,,
b853bed2-55a2-4a3f-8de0-23846201f506,enjoying,0.980000019,,,,,
4a3e235e-5f9c-4214-b9fb-c0fab02a6fa1,Great,1.200000048, jacobtech,Person,1.200000048,,
97a2301d-d277-4266-a53a-2310218ce0d8,love,1.200000048, johnny_shaft,Person,1.200000048,,
3dde1c7a-3241-4243-ac16-e5cbf3e80adf,,, Xbox,Person,0,,
3dde1c7a-3241-4243-ac16-e5cbf3e80adf,,, #Xbox360,Pattern,0,,
3dde1c7a-3241-4243-ac16-e5cbf3e80adf,,, #XboxOne,Pattern,0,,
3dde1c7a-3241-4243-ac16-e5cbf3e80adf,,, #XboxE3,Pattern,0,,
3dde1c7a-3241-4243-ac16-e5cbf3e80adf,,,  http://t.co/emuzzpbOMa,Regex,0,,
0b7f3181-e1bf-4640-a75a-fd48688e61c7,,, Xbox,Person,0,,
0b7f3181-e1bf-4640-a75a-fd48688e61c7,,, #XboxE3,Pattern,0,,
0b7f3181-e1bf-4640-a75a-fd48688e61c7,,,  http://t.co/SAOLmmR4r9,Regex,0,,
40bc6ba3-4296-4e5d-88df-91eebb5ae4b0,,, HoloLens,Person,0,,
40bc6ba3-4296-4e5d-88df-91eebb5ae4b0,,, Minecraft,Person,0,,
40bc6ba3-4296-4e5d-88df-91eebb5ae4b0,,,Microsoft,Company,0,,
