keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop
Xbox,OTHER,1.18E-18,91749,103230,95726,RT Xbox: Get ready to play your #Xbox360 games on #XboxOne. #XboxE3 http://t.co/emuzzpbOMa,22592,22152,22438
#dapper,HASHTAG,0.400000006,77728,84244,80008,RT RobertDowneyJr: Honored to present a bionic #IronMan arm to Alex through MSOneNote's #CollectiveProject. Check the bowtie. #dapperhtt•À_,38864,42122,40004
Microsoft,OTHER,0.002647059,75415,71250,73883,Microsoft HoloLens. Transform your world with holograms. Watch:https://t.co/GaZat1clDV,28290,26138,27536
#XboxE3,HASHTAG,0,58088,74233,63730,RT Xbox: Get ready to play your #Xbox360 games on #XboxOne. #XboxE3 http://t.co/emuzzpbOMa,22592,22152,22438
HoloLens,OTHER,3.93E-06,44286,39226,42509,Microsoft HoloLens. Transform your world with holograms. Watch:https://t.co/GaZat1clDV,28290,26138,27536
surface,OTHER,2.57E-31,11478,12449,11798,"RT surface: Meet #SurfacePro3, the tablet that can replace your laptop. http://t.co/FuE3WvxALG",2441,2237,2369
MSOneNote,OTHER,0.010578114,39570,42907,40736,RT RobertDowneyJr: Honored to present a bionic #IronMan arm to Alex through MSOneNote's #CollectiveProject. Check the bowtie. #dapperhtt•À_,38864,42122,40004
#CollectiveProject,HASHTAG,0.020746527,39374,43028,40650,RT RobertDowneyJr: Honored to present a bionic #IronMan arm to Alex through MSOneNote's #CollectiveProject. Check the bowtie. #dapperhtt•À_,38864,42122,40004
Windows,OTHER,2.11E-11,57424,38672,50811,RT Windows: May the 4th be with you. #StarWarsDay #Windows #OneDrive http://t.co/b0VaGbkfnQ,10193,5584,8579
htt•À_,OTHER,0.063516406,41004,43643,41924,RT RobertDowneyJr: Honored to present a bionic #IronMan arm to Alex through MSOneNote's #CollectiveProject. Check the bowtie. #dapperhtt•À_,38864,42122,40004
majornelson,OTHER,0,12706,7540,10896,RT majornelson: Here it is up close - the very first ET cartridge exhumed after 30 years http://t.co/nb8tv33w8F,7436,4626,6452
#Windows,HASHTAG,-0.045029661,13393,8521,11677,RT Windows: May the 4th be with you. #StarWarsDay #Windows #OneDrive http://t.co/b0VaGbkfnQ,10193,5584,8579
win,OTHER,0.02387665,15012,4806,11421,RT Xbox: Not at #SDCC?RT this for a chance to win a Nerdist collectible #XboxOne! #XboxSweeps Rules: http://t.co/ftud2pAH3d http://t.co/•À_,6487,1049,4583
#XboxOne,HASHTAG,1.48E-08,41288,33327,38485,RT Xbox: Get ready to play your #Xbox360 games on #XboxOne. #XboxE3 http://t.co/emuzzpbOMa,22592,22152,22438
Honored,OTHER,0.553749979,39135,42466,40300,RT RobertDowneyJr: Honored to present a bionic #IronMan arm to Alex through MSOneNote's #CollectiveProject. Check the bowtie. #dapperhtt•À_,38864,42122,40004
https://t.co/GaZat1clDV,LINK,0,28290,26138,27536,Microsoft HoloLens. Transform your world with holograms. Watch:https://t.co/GaZat1clDV,28290,26138,27536
#IronMan,HASHTAG,0.285937488,39040,42374,40206,RT RobertDowneyJr: Honored to present a bionic #IronMan arm to Alex through MSOneNote's #CollectiveProject. Check the bowtie. #dapperhtt•À_,38864,42122,40004
RobertDowneyJr,OTHER,0.553749979,38864,42122,40004,RT RobertDowneyJr: Honored to present a bionic #IronMan arm to Alex through MSOneNote's #CollectiveProject. Check the bowtie. #dapperhtt•À_,38864,42122,40004
#Build2015,HASHTAG,4.03E-04,7804,5649,7046,RT Windows: Microsoft announces Continuum for phones - where almost any screen can deliver a PC experience. #Windows10 #Build2015 http://t•À_,1505,857,1278
http://t.co/emuzzpbOMa,LINK,0,22592,22152,22438,RT Xbox: Get ready to play your #Xbox360 games on #XboxOne. #XboxE3 http://t.co/emuzzpbOMa,22592,22152,22438
satyanadella,OTHER,7.11E-07,15111,13023,14365,"RT satyanadella: Thank you to our customers, partners &amp; employees who made 40 yrs of Microsoft possible! Look forward to the next 40 &amp; #e•À_",1814,1908,1846
http://t.co/b0VaGbkfnQ,LINK,0,10193,5584,8579,RT Windows: May the 4th be with you. #StarWarsDay #Windows #OneDrive http://t.co/b0VaGbkfnQ,10193,5584,8579
better,OTHER,0.05491566,7332,8915,7881,RT Xbox: Scorpion? You'd better believe it. #MortalKombat10 comes to #Xbox in 2015. http://t.co/6m8SIy4Uua #XboxE3 http://t.co/AXtUB5NdmJ,4642,6150,5169
#OneDrive,HASHTAG,0.038076623,13189,7694,11258,RT Windows: May the 4th be with you. #StarWarsDay #Windows #OneDrive http://t.co/b0VaGbkfnQ,10193,5584,8579
#SurfacePro3,HASHTAG,7.65E-05,11476,11086,11305,"RT surface: Meet #SurfacePro3, the tablet that can replace your laptop. http://t.co/FuE3WvxALG",2441,2237,2369
best,OTHER,0.027312148,10790,5308,8864,RT Windows: Introducing the best one yet. #Windows10 http://t.co/LDPSJF6pUH,8488,3289,6668
#SB49,HASHTAG,0,1992,2493,2166,One of our TWO Super Bowl commercials this year: Estella's Brilliant Bus#empowering #SB49https://t.co/Ic4zb6Gwy4,1358,1706,1479
http://t.co/AXtUB5NdmJ,LINK,0,4642,6150,5169,RT Xbox: Scorpion? You'd better believe it. #MortalKombat10 comes to #Xbox in 2015. http://t.co/6m8SIy4Uua #XboxE3 http://t.co/AXtUB5NdmJ,4642,6150,5169
https://t.co/yWd0iW3GdJ,LINK,0,13108,27276,18066,Watch it again: the #empowering story of Braylon O'Neill.https://t.co/yWd0iW3GdJ,13108,27276,18066
#XboxSweeps,HASHTAG,0,6487,1049,4583,RT Xbox: Not at #SDCC?RT this for a chance to win a Nerdist collectible #XboxOne! #XboxSweeps Rules: http://t.co/ftud2pAH3d http://t.co/•À_,6487,1049,4583
MSFTnews,OTHER,2.34E-41,14022,10668,12780,RT MSFTnews: Announcing Windows 10 http://t.co/QMcNy9B0NC http://t.co/w3MkVmsl4l,1734,752,1390
#ICreatedThis,HASHTAG,3.70E-20,3955,7891,5309,"""I re-branded Microsoft for a school project, and then they hired me."" http://t.co/EH6g7YTLVS #ICreatedThis http://t.co/Yrpf6nK6Zd",314,805,485
http://t.co/842rt0T6BZ,LINK,0,16593,25983,19879,RT Xbox: Elite controller = Elite gamer. #XboxE3 http://t.co/842rt0T6BZ,16593,25983,19879
#Xbox360,HASHTAG,0.025000001,24244,24220,24233,RT Xbox: Get ready to play your #Xbox360 games on #XboxOne. #XboxE3 http://t.co/emuzzpbOMa,22592,22152,22438
http://t.co/SAOLmmR4r9,LINK,0,5041,8893,6389,RT Xbox: Are you ready? #XboxE3 http://t.co/SAOLmmR4r9,5041,8893,6389
windowsphone,OTHER,1.92E-51,8140,5528,7207,RT windowsphone: Meet #Cortana.•À_#bldwin #WindowsPhone http://t.co/yBOYDIVhga,1220,626,1012
#Windows10,HASHTAG,6.27E-04,36698,23691,32132,RT Windows: Introducing the best one yet. #Windows10 http://t.co/LDPSJF6pUH,8488,3289,6668
Surface,OTHER,1.34E-04,3503,3279,3386,"RT satyanadella: today's Surface event, sketched on a #SurfacePro3 http://t.co/Tv7S8ACgxP",775,494,676
ID_Xbox,OTHER,0.429659367,3203,429,2232,"RT Xbox: Zombies, zombies everywhere. 30 #XboxOne codes, here.RT for a chance to win a free copy of Zombie Driver from ID_Xbox",3203,429,2232
#Lumia,HASHTAG,1.80E-11,5158,5705,5326,RT nokia: The #Lumia Cyan update with Windows Phone 8.1 and Lumia features starts rolling out today! http://t.co/3FUfUoID7F http://t.co/YM•À_,1124,761,996
Braylon O'Neill,OTHER,0,13199,27412,18172,Watch it again: the #empowering story of Braylon O'Neill.https://t.co/yWd0iW3GdJ,13108,27276,18066
#Xbox,HASHTAG,0,3925,4000,3945,RT Xbox: Coming to your #Xbox in June. Free games for Gold members. Entertainment apps for everyone. http://t.co/qO0mn68Q3q http://t.co/lo•À_,1301,1191,1262
DangeRussWilson,OTHER,-0.01,2472,4550,3197,See how the NFL uses Surface through the lens of DangeRussWilson and the Seahawks.https://t.co/xLBdyYeRy2,1748,2704,2082
#SDCC,HASHTAG,0,6487,1049,4583,RT Xbox: Not at #SDCC?RT this for a chance to win a Nerdist collectible #XboxOne! #XboxSweeps Rules: http://t.co/ftud2pAH3d http://t.co/•À_,6487,1049,4583
MicrosoftStore,OTHER,5.69E-38,7704,7583,7617,"RT MicrosoftStore: Followers unite! 500 retweets will unlock a deal on one of our music accessories. Ready, set, share! #sharetosave•À_ http•À_",633,96,445
http://t.co/nb8tv33w8F,LINK,0,7436,4626,6452,RT majornelson: Here it is up close - the very first ET cartridge exhumed after 30 years http://t.co/nb8tv33w8F,7436,4626,6452
#WindowsPhone,HASHTAG,2.29E-11,5709,3532,4938,RT windowsphone: Meet #Cortana.•À_#bldwin #WindowsPhone http://t.co/yBOYDIVhga,1220,626,1012
http://t.co/TEPxFWw5yH,LINK,0,5286,3156,4540,Introducing Microsoft HoloLens. Transform your world with holograms. Watch the webcast live: http://t.co/wNo7aeNB6c http://t.co/TEPxFWw5yH,5286,3156,4540
https://t.co/MORrzfCmrO,LINK,0,1335,3004,1919,"""Technology has changed Braylon's life by opening up the world for him."" #empoweringhttps://t.co/MORrzfCmrO",1335,3004,1919
free copy,OTHER,0.174069578,11004,1384,7636,"RT Xbox: Zombies, zombies everywhere. 30 #XboxOne codes, here.RT for a chance to win a free copy of Zombie Driver from ID_Xbox",3203,429,2232
http://t.co/qVBqmHUe7V,LINK,0,1806,2942,2203,RT Xbox: End 2014 with a bang.The #Halo 5: Guardians multiplayer beta is live: http://t.co/vATmIndEAb http://t.co/qVBqmHUe7V,1806,2942,2203
http://t.co/lY2QFwk1mj,LINK,0,7279,5110,6519,"RT Windows: Summer just got an upgrade. #Windows10 will release worldwide on July 29, 2015: http://t.co/lY2QFwk1mj http://t.co/VaytYlCeaR",7279,5110,6519
#hourofcode,HASHTAG,0,6459,10287,7798,We're challenging you to learn coding with #hourofcode. Here's how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3sfPvrdOGM,6459,10287,7798
http://t.co/E6dRo7t0lg,LINK,0,1323,2110,1598,"RT Xbox: Fun, dark, and handsome.Get your #XboxOne starting at $399: http://t.co/modOWfkVVX http://t.co/E6dRo7t0lg",1323,2110,1598
MSFTResearch,OTHER,4.19E-04,1920,1549,1780,RT Windows: Motion-sensing keyboard that detects hand gestures--in the works from MSFTResearch! http://t.co/RcgMrS4dKW http://t.co/hfzuOv•À_,317,268,299
#HoloLens,HASHTAG,0.02,5155,5009,5102,RT HoloLens: It's official: Minecraft is coming to Microsoft #HoloLens. #XboxE3 http://t.co/VSyAlmdu2s,3422,3397,3413
latest,OTHER,-0.125487155,3419,3087,3301,RT bing: Show us you photography skills. Submit your photo in our latest photo contest. http://t.co/Z316UBD7aN #BingWorthy http://t.co/DDp•À_,903,1006,939
http://t.co/NruKE7qkbm,LINK,0,5064,2503,4167,RT majornelson: Urban legend CONFIRMED http://t.co/NruKE7qkbm,5064,2503,4167
http://t.co/Hmsryi4bt6,LINK,0,6459,10287,7798,We're challenging you to learn coding with #hourofcode. Here's how you can get started: http://t.co/Hmsryi4bt6 http://t.co/3sfPvrdOGM,6459,10287,7798
#bldwin,HASHTAG,0,5085,2732,4254,RT windowsphone: Meet #Cortana.•À_#bldwin #WindowsPhone http://t.co/yBOYDIVhga,1220,626,1012
http://t.co/ebAuoNC7mO,LINK,0,4590,2626,3902,Minecraft to join Microsoft http://t.co/ebAuoNC7mO http://t.co/LePrYjCysC,4590,2626,3902
bing,OTHER,1.77E-18,5156,6201,5506,RT bing: Show us you photography skills. Submit your photo in our latest photo contest. http://t.co/Z316UBD7aN #BingWorthy http://t.co/DDp•À_,903,1006,939
great,OTHER,0.014670429,3017,3194,3039,RT satyanadella: great doodle of the world of data. catalyzing data exhaust into fuel for ambient intelligence http://t.co/GayjelefsE http•À_,849,608,764
