keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop,company,date
IBM,OTHER,8.12E-07,33052,17453,27291,RT @tim_cook: Today Apple and IBM announced a landmark enterprise partnership.  Thanks Ginni!  #Apple #IBM http://t.co/0Rq48p7t7i,3680,2896,3405,IBM,16/07/2014
@IBMWatson,USERNAME,4.19E-04,8566,3677,6749,RT @IBMWatson: Watson can analyze personality characteristics from a writing style. Try the demo @IBMBluemix: http://t.co/x1MzG7v1Yg http:/�,171,99,145,IBM,7/4/2015
Apple,OTHER,3.11E-05,7235,4177,6150,RT @tim_cook: Today Apple and IBM announced a landmark enterprise partnership.  Thanks Ginni!  #Apple #IBM http://t.co/0Rq48p7t7i,3680,2896,3405,IBM,10/3/2015
#themasters,HASHTAG,0,6535,5178,6060,RT @TheMasters: Welcome to the Masters #aprilishere #themasters http://t.co/6yqsh4tZAP,6535,5178,6060,IBM,7/4/2015
@TheMasters,USERNAME,0,6535,5178,6060,RT @TheMasters: Welcome to the Masters #aprilishere #themasters http://t.co/6yqsh4tZAP,6535,5178,6060,IBM,7/4/2015
#aprilishere,HASHTAG,0,6535,5178,6060,RT @TheMasters: Welcome to the Masters #aprilishere #themasters http://t.co/6yqsh4tZAP,6535,5178,6060,IBM,16/07/2014
http://t.co/6yqsh4tZAP,LINK,0,6535,5178,6060,RT @TheMasters: Welcome to the Masters #aprilishere #themasters http://t.co/6yqsh4tZAP,6535,5178,6060,IBM,7/4/2015
#IBM,HASHTAG,0.005592113,6200,3824,5321,RT @tim_cook: Today Apple and IBM announced a landmark enterprise partnership.  Thanks Ginni!  #Apple #IBM http://t.co/0Rq48p7t7i,3680,2896,3405,IBM,29/10/2014
@tim_cook,USERNAME,0,5272,4650,5053,RT @tim_cook: Today Apple and IBM announced a landmark enterprise partnership.  Thanks Ginni!  #Apple #IBM http://t.co/0Rq48p7t7i,3680,2896,3405,IBM,16/07/2014
#Apple,HASHTAG,0.075234498,3858,2997,3555,RT @tim_cook: Today Apple and IBM announced a landmark enterprise partnership.  Thanks Ginni!  #Apple #IBM http://t.co/0Rq48p7t7i,3680,2896,3405,IBM,7/7/2014
