keyword,keywordType,avgSentiment,totalRT,totalFav,totalPop,topTweet,topRT,topFav,topPop,company
Xbox,OTHER,1.18E-18,91749,103230,95726,RT Xbox: Get ready to play your #Xbox360 games on #XboxOne. #XboxE3 http://t.co/emuzzpbOMa,22592,22152,22438,Microsoft
#dapper,HASHTAG,0.400000006,77728,84244,80008,RT RobertDowneyJr: Honored to present a bionic #IronMan arm to Alex through MSOneNote's #CollectiveProject. Check the bowtie. #dapperhtt�,38864,42122,40004,Microsoft
Microsoft,OTHER,0.002647059,75415,71250,73883,Microsoft HoloLens. Transform your world with holograms. Watch:https://t.co/GaZat1clDV,28290,26138,27536,Microsoft
#XboxE3,HASHTAG,0,58088,74233,63730,RT Xbox: Get ready to play your #Xbox360 games on #XboxOne. #XboxE3 http://t.co/emuzzpbOMa,22592,22152,22438,Microsoft
Windows,OTHER,2.11E-11,57424,38672,50811,RT Windows: May the 4th be with you. #StarWarsDay #Windows #OneDrive http://t.co/b0VaGbkfnQ,10193,5584,8579,Microsoft
HoloLens,OTHER,3.93E-06,44286,39226,42509,Microsoft HoloLens. Transform your world with holograms. Watch:https://t.co/GaZat1clDV,28290,26138,27536,Microsoft
htt�,OTHER,0.063516406,41004,43643,41924,RT RobertDowneyJr: Honored to present a bionic #IronMan arm to Alex through MSOneNote's #CollectiveProject. Check the bowtie. #dapperhtt�,38864,42122,40004,Microsoft
MSOneNote,OTHER,0.010578114,39570,42907,40736,RT RobertDowneyJr: Honored to present a bionic #IronMan arm to Alex through MSOneNote's #CollectiveProject. Check the bowtie. #dapperhtt�,38864,42122,40004,Microsoft
#CollectiveProject,HASHTAG,0.020746527,39374,43028,40650,RT RobertDowneyJr: Honored to present a bionic #IronMan arm to Alex through MSOneNote's #CollectiveProject. Check the bowtie. #dapperhtt�,38864,42122,40004,Microsoft
Honored,OTHER,0.553749979,39135,42466,40300,RT RobertDowneyJr: Honored to present a bionic #IronMan arm to Alex through MSOneNote's #CollectiveProject. Check the bowtie. #dapperhtt�,38864,42122,40004,Microsoft
#IronMan,HASHTAG,0.285937488,39040,42374,40206,RT RobertDowneyJr: Honored to present a bionic #IronMan arm to Alex through MSOneNote's #CollectiveProject. Check the bowtie. #dapperhtt�,38864,42122,40004,Microsoft
RobertDowneyJr,OTHER,0.553749979,38864,42122,40004,RT RobertDowneyJr: Honored to present a bionic #IronMan arm to Alex through MSOneNote's #CollectiveProject. Check the bowtie. #dapperhtt�,38864,42122,40004,Microsoft
#XboxOne,HASHTAG,1.48E-08,41288,33327,38485,RT Xbox: Get ready to play your #Xbox360 games on #XboxOne. #XboxE3 http://t.co/emuzzpbOMa,22592,22152,22438,Microsoft
#Windows10,HASHTAG,6.27E-04,36698,23691,32132,RT Windows: Introducing the best one yet. #Windows10 http://t.co/LDPSJF6pUH,8488,3289,6668,Microsoft
https://t.co/GaZat1clDV,LINK,0,28290,26138,27536,Microsoft HoloLens. Transform your world with holograms. Watch:https://t.co/GaZat1clDV,28290,26138,27536,Microsoft
#Xbox360,HASHTAG,0.025000001,24244,24220,24233,RT Xbox: Get ready to play your #Xbox360 games on #XboxOne. #XboxE3 http://t.co/emuzzpbOMa,22592,22152,22438,Microsoft
#empowering,HASHTAG,5.61E-17,17450,34025,23213,Watch it again: the #empowering story of Braylon O'Neill.https://t.co/yWd0iW3GdJ,13108,27276,18066,Microsoft
http://t.co/emuzzpbOMa,LINK,0,22592,22152,22438,RT Xbox: Get ready to play your #Xbox360 games on #XboxOne. #XboxE3 http://t.co/emuzzpbOMa,22592,22152,22438,Microsoft
http://t.co/842rt0T6BZ,LINK,0,16593,25983,19879,RT Xbox: Elite controller = Elite gamer. #XboxE3 http://t.co/842rt0T6BZ,16593,25983,19879,Microsoft
Braylon O'Neill,OTHER,0,13199,27412,18172,Watch it again: the #empowering story of Braylon O'Neill.https://t.co/yWd0iW3GdJ,13108,27276,18066,Microsoft
https://t.co/yWd0iW3GdJ,LINK,0,13108,27276,18066,Watch it again: the #empowering story of Braylon O'Neill.https://t.co/yWd0iW3GdJ,13108,27276,18066,Microsoft
satyanadella,OTHER,7.11E-07,15111,13023,14365,"RT satyanadella: Thank you to our customers, partners &amp; employees who made 40 yrs of Microsoft possible! Look forward to the next 40 &amp; #e�",1814,1908,1846,Microsoft
MSFTnews,OTHER,2.34E-41,14022,10668,12780,RT MSFTnews: Announcing Windows 10 http://t.co/QMcNy9B0NC http://t.co/w3MkVmsl4l,1734,752,1390,Microsoft
surface,OTHER,2.57E-31,11478,12449,11798,"RT surface: Meet #SurfacePro3, the tablet that can replace your laptop. http://t.co/FuE3WvxALG",2441,2237,2369,Microsoft
#Windows,HASHTAG,-0.045029661,13393,8521,11677,RT Windows: May the 4th be with you. #StarWarsDay #Windows #OneDrive http://t.co/b0VaGbkfnQ,10193,5584,8579,Microsoft
win,OTHER,0.02387665,15012,4806,11421,RT Xbox: Not at #SDCC?RT this for a chance to win a Nerdist collectible #XboxOne! #XboxSweeps Rules: http://t.co/ftud2pAH3d http://t.co/�,6487,1049,4583,Microsoft
#SurfacePro3,HASHTAG,7.65E-05,11476,11086,11305,"RT surface: Meet #SurfacePro3, the tablet that can replace your laptop. http://t.co/FuE3WvxALG",2441,2237,2369,Microsoft
#OneDrive,HASHTAG,0.038076623,13189,7694,11258,RT Windows: May the 4th be with you. #StarWarsDay #Windows #OneDrive http://t.co/b0VaGbkfnQ,10193,5584,8579,Microsoft
majornelson,OTHER,0,12706,7540,10896,RT majornelson: Here it is up close - the very first ET cartridge exhumed after 30 years http://t.co/nb8tv33w8F,7436,4626,6452,Microsoft
best,OTHER,0.027312148,10790,5308,8864,RT Windows: Introducing the best one yet. #Windows10 http://t.co/LDPSJF6pUH,8488,3289,6668,Microsoft
http://t.co/b0VaGbkfnQ,LINK,0,10193,5584,8579,RT Windows: May the 4th be with you. #StarWarsDay #Windows #OneDrive http://t.co/b0VaGbkfnQ,10193,5584,8579,Microsoft
#StarWarsDay,HASHTAG,0,10193,5584,8579,RT Windows: May the 4th be with you. #StarWarsDay #Windows #OneDrive http://t.co/b0VaGbkfnQ,10193,5584,8579,Microsoft
